row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND > Các khoản vay ngân hàng bằng USD,Số cuối năm (VND) > 348.861.914.049 > 16.884.491.098,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 4 năm 2021 đến tháng 12 năm 2023. Lãi vay trả hàng tháng. > Gốc vay được trả lần cuối vào tháng 12 năm 2021. Lãi vay trả hàng tháng.,"Lãi suất năm > 8,0% - 10,5% > 5,5%",numeric__Số cuối năm (VND) > 348.861.914.049 > 16.884.491.098,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 4 năm 2021 đến tháng 12 năm 2023. Lãi vay trả hàng tháng. > Gốc vay được trả lần cuối vào tháng 12 năm 2021. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 8,0% - 10,5% > 5,5%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,365.746.405.147,,,365746405147.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay có tài sản đảm bảo,Trong đó: > Vay có tài sản đảm bảo,Vay có tài sản đảm bảo,365.746.405.147,,,365746405147.0,,
Vay tín chấp,Vay tín chấp,Vay tín chấp,-,,,,,
