row_label_raw,row_label_full,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,Đơn vị tính: VND_6,Đơn vị tính: VND_7,Đơn vị tính: VND_8,Đơn vị tính: VND_9,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5,numeric__Đơn vị tính: VND_6,numeric__Đơn vị tính: VND_7,numeric__Đơn vị tính: VND_8,numeric__Đơn vị tính: VND_9
Bên liên quan,Bên liên quan,Bên liên quan,Mỗi quan hệ,Doanh thu bán hàng và cung cấp dịch vụ,Mua hàng hóa dịch vụ,Doanh thu tài chính,Gộp vốn hợp đồng hợp tác kinh doanh,Cho vay,Thu tiền cho vay,Chia cổ tức,Nhận nợ vay,,,,,,,,,
Công ty Cổ phần An Thành Bicsol,Bên liên quan > Công ty Cổ phần An Thành Bicsol,Công ty Cổ phần An Thành Bicsol,Công ty con,1.166.474.292.075,156.977.236.203,,,,,,,,1166474292075.0,156977236203.0,,,,,,
Công ty Cổ phần An Tiến Industries,Bên liên quan > Công ty Cổ phần An Tiến Industries,Công ty Cổ phần An Tiến Industries,Công ty con,63.187.236.548,94.626.501.759,5.121.520.548,,,,,,,63187236548.0,94626501759.0,5121520548.0,,,,,
"An Thanh Bicsol Singapore PTE., Ltd.","Bên liên quan > An Thanh Bicsol Singapore PTE., Ltd.","An Thanh Bicsol Singapore PTE., Ltd.",Công ty con,227.466.940.650,52.110.891.622,,,,,,,,227466940650.0,52110891622.0,,,,,,
Công ty Cổ phần Liên vận An Tín,Bên liên quan > Công ty Cổ phần Liên vận An Tín,Công ty Cổ phần Liên vận An Tín,Công ty con,,55.096.097.193,,,,,,,,,55096097193.0,,,,,,
Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Bên liên quan > Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty con,,,1.675.479.452,355.500.000.000,,,,,,,,1675479452.0,355500000000.0,,,,
Đối tác doanh nghiệp 6,Bên liên quan > Đối tác doanh nghiệp 6,Đối tác doanh nghiệp 6,Công ty con,3.780.455.366,45.794.949.093,,,,,,,,3780455366.0,45794949093.0,,,,,,
Công ty Cổ phần Tập đoàn An Phát Holdings,Bên liên quan > Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty mẹ,,,,,59.150.000.000,28.100.000.000,12.718.911.884,335.228.400.000,,,,,,59150000000.0,28100000000.0,12718911884.0,335228400000.0
