row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND > Các khoản vay ngân hàng bằng USD > Các khoản vay ngân hàng bằng EUR,Số cuối năm (VND) > 172.963.040.012 > 1.516.978.314.120 > 159.255.035.235,"Kỳ hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng.Lãi vay trả vào ngày 20 đến 28 hàng tháng. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng.Lãi vay trả vào ngày 20 đến 28 hàng tháng hoặc trả vào cuối kỳ > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng.Lãi vay trả vào ngày 25 hàng tháng.","Lãi suất năm > 5,4% - 6,5% > 2,9% - 4,4% > 2,5%",numeric__Số cuối năm (VND) > 172.963.040.012 > 1.516.978.314.120 > 159.255.035.235,"numeric__Kỳ hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng.Lãi vay trả vào ngày 20 đến 28 hàng tháng. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng.Lãi vay trả vào ngày 20 đến 28 hàng tháng hoặc trả vào cuối kỳ > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng.Lãi vay trả vào ngày 25 hàng tháng.","numeric__Lãi suất năm > 5,4% - 6,5% > 2,9% - 4,4% > 2,5%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.849.196.389.367,,,1849196389367.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay có tài sản đảm bảo,Trong đó: > Vay có tài sản đảm bảo,Vay có tài sản đảm bảo,1.721.330.818.572,,,1721330818572.0,,
Vay tín chấp,Trong đó: > Vay tín chấp,Vay tín chấp,127.865.570.795,,,127865570795.0,,
