row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số cuối năm > Dự phòng,Đơn vị tính: VND > Giá gốc,Đơn vị tính: VND > Giá trị ghi số,Đơn vị tính: VND > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Giá gốc,numeric__Đơn vị tính: VND > Giá trị ghi số,numeric__Đơn vị tính: VND > Dự phòng
Tiền gửicó kỳ hạn (*),Tiền gửicó kỳ hạn (*),Tiền gửicó kỳ hạn (*),570.073.753.425,570.073.753.425,-,173.000.000.000,173.000.000.000,-,570073753425.0,570073753425.0,,173000000000.0,173000000000.0,
Trái phiếu (**),Trái phiếu (**),Trái phiếu (**),106.921.000.000,106.921.000.000,-,310.900.000.000,310.900.000.000,-,106921000000.0,106921000000.0,,310900000000.0,310900000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,676.994.753.425,676.994.753.425,-,483.900.000.000,483.900.000.000,-,676994753425.0,676994753425.0,,483900000000.0,483900000000.0,
