row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,6.082.969.225,2.982.614.304,6082969225.0,2982614304.0
Chi phí khấu hao tài sản cố định,Chi phí bán hàng > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,12.899.661.891,12.780.469.139,12899661891.0,12780469139.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,86.410.849.460,55.045.313.527,86410849460.0,55045313527.0
Chi phí nguyên vật liệu,Chi phí bán hàng > Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,470.238.381,362.297.829,470238381.0,362297829.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,11.317.589.424,7.621.102.309,11317589424.0,7621102309.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,117.181.308.381,78.791.797.108,117181308381.0,78791797108.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,20.085.949.786,14.130.505.226,20085949786.0,14130505226.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,16.798.924.087,15.925.487.376,16798924087.0,15925487376.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,39.409.238.921,36.322.182.077,39409238921.0,36322182077.0
Chi phí nguyên vật liệu,Chi phí quản lý doanh nghiệp > Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,777.210.900,759.809.261,777210900.0,759809261.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,6.302.439.249,13.474.182.943,6302439249.0,13474182943.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,83.373.762.943,80.612.166.883,83373762943.0,80612166883.0
