row_label_raw,row_label_full,"Bên liên quanAn Thanh Bicsol Singapore PTE., Ltd",Mối quan hệCông ty con,Doanh thu bán hàng và cung cấp dịch vụ78.738.874.746,Mua hàng hóa dịch vụ,Lợi nhuận hợp đồng hợp tác kinh doanh,Góp vốn hợp đồng hợp tác kinh doanh,Cho vay,Thu tiền cho vay,Chia cổ tức,Tạm ứng,numeric__Mối quan hệCông ty con,numeric__Doanh thu bán hàng và cung cấp dịch vụ78.738.874.746,numeric__Mua hàng hóa dịch vụ,numeric__Lợi nhuận hợp đồng hợp tác kinh doanh,numeric__Góp vốn hợp đồng hợp tác kinh doanh,numeric__Cho vay,numeric__Thu tiền cho vay,numeric__Chia cổ tức,numeric__Tạm ứng
Công ty Cổ phần An Thành Bicsol,Công ty Cổ phần An Thành Bicsol,Công ty Cổ phần An Thành Bicsol,Công ty con,1.385.244.104.922,155.374.206.586,,,,,,,,1385244104922.0,155374206586.0,,,,,,
Công ty Cổ Phần An Tiến Industries,Công ty Cổ Phần An Tiến Industries,Công ty Cổ Phần An Tiến Industries,Công ty con,128.677.992.558,108.986.193.718,,,,7.000.000.000,,,,128677992558.0,108986193718.0,,,,7000000000.0,,
Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty trong cùng Tập đoàn,23.804.528.151,,,,,,,,,23804528151.0,,,,,,,
Công ty Cổ phần Liên Vận An Tín,Công ty Cổ phần Liên Vận An Tín,Công ty Cổ phần Liên Vận An Tín,Công ty con,,60.612.082.851,,,,,,,,,60612082851.0,,,,,,
Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty con,,,47.510.351.300,44.500.000.000,,,,,,,,47510351300.0,44500000000.0,,,,
Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty mẹ,,,,,7.000.000.000,38.050.000.000,39.908.570.000,,,,,,,7000000000.0,38050000000.0,39908570000.0,
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch Hội đồng Quản trị,,,,,,,,11.738.801.376,,,,,,,,,11738801376.0
