row_label_raw,row_label_full,col_0,col_1,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__col_1,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
6.2,6.2,6.2,Phải thu từ các bên khác,316.611.173.326,252.848.527.401,,316611173326.0,252848527401.0
6.2,6.2,6.2,Phải thu từ các bên liên quan(Thuyết minh số 28),390.914.582.947,513.595.650.048,,390914582947.0,513595650048.0
6.2,6.2,6.2,TỔNG CỘNG,707.525.756.273,766.444.177.449,,707525756273.0,766444177449.0
6.2,6.2,6.2,Dự phòng phải thu ngắn hạn khó đòi,-,-,,,
6.2,6.2,6.2,Trả trước cho người bán ngắn hạn,,Đơn vị tính: VND,,,
6.2,6.2,6.2,,Số cuối năm,Số đầu năm,,,
6.2,6.2 > 6.2,6.2,Trả trước cho người bán,89.877.868.785,33.697.716.911,,89877868785.0,33697716911.0
6.2,6.2 > 6.2,6.2,Trả trước cho các bên liên quan(Thuyết minh số 28),35.187.268.614,15.499.935.644,,35187268614.0,15499935644.0
6.2,6.2 > 6.2,6.2,TỔNG CỘNG,125.065.137.399,49.197.652.555,,125065137399.0,49197652555.0
