row_label_raw,row_label_full,Năm trước > Số đầu năm > - Tăng vốn trong năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước > 835.999.880.000 > 875.999.880.000 > -,Thặng dư vốn cổ phần > Năm trước > 198.078.767.329 > 334.048.922.000 > -,Quỹ đầu tư phát triển > Năm trước > 40.986.236.108 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 276.293.650.267 > - > 170.912.085.289,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 11.612.477.781 > -,Đơn vị tính: VND Tổng cộng > Năm trước > 1.362.971.011.485 > 1.210.048.802.000 > 170.912.085.289,numeric__Vốn cổ phần đã phát hành > Năm trước > 835.999.880.000 > 875.999.880.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 198.078.767.329 > 334.048.922.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 40.986.236.108 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 276.293.650.267 > - > 170.912.085.289,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 11.612.477.781 > -,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 1.362.971.011.485 > 1.210.048.802.000 > 170.912.085.289
- Trả cổ tức,- Trả cổ tức,- Trả cổ tức,-,-,-,(125.399.982.000),-,(125.399.982.000),,,,-125399982000.0,,-125399982000.0
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,11.167.133.087,(22.334.266.174),-,(11.167.133.087),,,11167133087.0,-22334266174.0,,-11167133087.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,(33.501.399.262),-,(33.501.399.262),,,,-33501399262.0,,-33501399262.0
Số cuối năm,Số cuối năm,Số cuối năm,1.711.999.760.000,532.127.689.329,52.153.369.195,265.970.088.120,11.612.477.781,2.573.863.384.425,1711999760000.0,532127689329.0,52153369195.0,265970088120.0,11612477781.0,2573863384425.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.711.999.760.000,532.127.689.329,52.153.369.195,265.970.088.120,11.612.477.781,2.573.863.384.425,1711999760000.0,532127689329.0,52153369195.0,265970088120.0,11612477781.0,2573863384425.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,232.638.764.291,-,232.638.764.291,,,,232638764291.0,,232638764291.0
- Trích quỹ đầu tư phát triển (*),Năm nay > - Trích quỹ đầu tư phát triển (*),- Trích quỹ đầu tư phát triển (*),-,-,8.545.604.264,(8.545.604.264),-,-,,,8545604264.0,-8545604264.0,,
- Trích quỹ khen thưởng phúc lợi (*),Năm nay > - Trích quỹ khen thưởng phúc lợi (*),- Trích quỹ khen thưởng phúc lợi (*),-,-,-,(34.182.417.057),-,(34.182.417.057),,,,-34182417057.0,,-34182417057.0
- Chia cổ tức (**),Năm nay > - Chia cổ tức (**),- Chia cổ tức (**),-,-,-,(85.599.988.000),-,(85.599.988.001),,,,-85599988000.0,,-85599988001.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.711.999.760.000,532.127.689.329,60.698.973.459,370.280.843.089,11.612.477.781,2.686.719.743.658,1711999760000.0,532127689329.0,60698973459.0,370280843089.0,11612477781.0,2686719743658.0
