row_label_raw,row_label_full,Mêsó,CHÍ TIÊU,Thuyếtminh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyếtminh,numeric__Năm nay,numeric__Năm trước
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,22.1,5.832.863.518.626,6.009.964.335.072,,221.0,5832863518626.0,6009964335072.0
02,02,02,Các khoản giảm trừ doanh thu,22.1,(9.506.285.699),(4.130.713.328),,221.0,-9506285699.0,-4130713328.0
10,10,10,Doanh thu thuần và bán hàng và cung cấp dịch vụ,22.1,5.823.357.252.927,5.005.833.621.744,,221.0,5823357252927.0,5005833621744.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,23,(5.316.433.613.535),(4.543.084.150.595),,23.0,-5316433613535.0,-4543084150595.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,506.923.639.392,462.749.471.149,,,506923639392.0,462749471149.0
21,21,21,Doanh thu hoạt động tài chính,22.2,150.911.134.533,44.008.943.125,,222.0,150911134533.0,44008943125.0
22,22,22,Chỉ phí tài chínhTrong đó: Chi phí lãi vay (không bao gồm chỉ phí phát hành trải phiếu),24,(188.736.761.790),(149.695.881.615),,24.0,-188736761790.0,-149695881615.0
23,23,23,Chỉ phí tài chínhTrong đó: Chi phí lãi vay (không bao gồm chỉ phí phát hành trải phiếu),,(157.825.747.640),(89.576.083.061),,,-157825747640.0,-89576083061.0
25,25,25,Chỉ phí bán hàng,25,(117.181.308.381),(76.791.797.108),,25.0,-117181308381.0,-76791797108.0
26,26,26,Chỉ phí quản lý doanh nghiệp,25,(83.373.762.943),(80.612.166.883),,25.0,-83373762943.0,-80612166883.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,288.542.940.811,197.658.558.668,,,288542940811.0,197658558668.0
31,31,31,Thu nhập khác,,3.506.377.679,4.944.743.757,,,3506377679.0,4944743757.0
32,32,32,Chỉ phí khác,,(235.808.673),(12.529.807),,,-235808673.0,-12529807.0
40,40,40,Lợi nhuận khác,,3.270.569.006,4.832.213.950,,,3270569006.0,4832213950.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,271.813.509.817,202.590.782.618,,,271813509817.0,202590782618.0
61,61,61,Chỉ phí thuế TNDN hiện hành,27.1,(39.174.745.526),(31.878.697.329),,271.0,-39174745526.0,-31878697329.0
60,60,60,Lợi nhuận sau thuế TNDN,,232.638.764.291,170.912.085.289,,,232638764291.0,170912085289.0
