row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty con,Phải thu lợi nhuận được chia từ Hợp đồng hợp tác kinh doanh,47.510.351.300,-,,,47510351300.0,
Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty cùng Tập đoàn,Phải thu khác,12.849.375.000,-,,,12849375000.0,
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên Hội đồng Quản trị của Công ty mẹ,Phải thu từ chi trả hộ và tạm ứng,3.048.000.000,3.120.000.000,,,3048000000.0,3120000000.0
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch Hội đồng Quản trị,Phải thu từ chi trả hộ và tạm ứng,-,15.108.287.274,,,,15108287274.0
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Tổng Giám đốc,Phải thu từ chi trả hộ và tạm ứng,-,1.840.152.864,,,,1840152864.0
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Thành viên Hội đồng Quản trị,Phải thu từ chi trả hộ và tạm ứng,-,1.809.849.725,,,,1809849725.0
Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty mẹ,Phải thu lãi cho vay,-,1.460.854.109,,,,1460854109.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải thu lãi cho vay,-,1.133.421.772,,,,1133421772.0
,,,,,63.407.726.300,24.472.565.744,,,63407726300.0,24472565744.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty con,Phải thu về Hợp đồng hợp tác kinh doanh,400.000.000.000,355.500.000.000,,,400000000000.0,355500000000.0
,,,,,400.000.000.000,355.500.000.000,,,400000000000.0,355500000000.0
