row_label_raw,row_label_full,col_0,Tại ngày 31/12/2019VND > Giá trị,Tại ngày 31/12/2019VND > Dự phòng,Tại ngày 01/01/2019VND > Giá trị,Tại ngày 01/01/2019VND > Dự phòng,numeric__Tại ngày 31/12/2019VND > Giá trị,numeric__Tại ngày 31/12/2019VND > Dự phòng,numeric__Tại ngày 01/01/2019VND > Giá trị,numeric__Tại ngày 01/01/2019VND > Dự phòng
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Phải thu khác đối với thu nhập từ cổ tức được chia từ phần vốn Nhà nước đầu tư tại doanh nghiệp còn thừa,Ngắn hạn: > Phải thu khác đối với thu nhập từ cổ tức được chia từ phần vốn Nhà nước đầu tư tại doanh nghiệp còn thừa,Phải thu khác đối với thu nhập từ cổ tức được chia từ phần vốn Nhà nước đầu tư tại doanh nghiệp còn thừa,-,-,100.000.000.000,-,,,100000000000.0,
"Dự thu lãi tiền gửi Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""","Ngắn hạn: > Dự thu lãi tiền gửi Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""","Dự thu lãi tiền gửi Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""",70.036.786.932,-,46.344.069.455,-,70036786932.0,,46344069455.0,
"Dự thu lãi tiền gửi Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""","Ngắn hạn: > Dự thu lãi tiền gửi Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""","Dự thu lãi tiền gửi Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""",10.543.080.390,-,10.653.781.316,-,10543080390.0,,10653781316.0,
"Kỹ quỹ, ký cược","Ngắn hạn: > Kỹ quỹ, ký cược","Kỹ quỹ, ký cược",26.853.780.102,-,1.975.623.766,-,26853780102.0,,1975623766.0,
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,43.070.149.542,-,47.869.825.138,-,43070149542.0,,47869825138.0,
Cộng,Ngắn hạn: > Cộng,Cộng,150.503.796.966,-,206.843.299.675,-,150503796966.0,,206843299675.0,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,,,
Đầu tư hợp tác kinh doanh với Công ty ICD Tân Cảng Long Bình (*),Dài hạn: > Đầu tư hợp tác kinh doanh với Công ty ICD Tân Cảng Long Bình (*),Đầu tư hợp tác kinh doanh với Công ty ICD Tân Cảng Long Bình (*),91.470.000.000,-,91.470.000.000,-,91470000000.0,,91470000000.0,
"Kỹ quỹ, ký cược","Dài hạn: > Kỹ quỹ, ký cược","Kỹ quỹ, ký cược",18.596.684.945,-,7.416.802.292,-,18596684945.0,,7416802292.0,
Phải thu khác,Dài hạn: > Phải thu khác,Phải thu khác,6.916.431.710,(6.476.078.400),19.030.964.233,(6.476.078.400),6916431710.0,-6476078400.0,19030964233.0,-6476078400.0
Cộng,Dài hạn: > Cộng,Cộng,116.983.116.655,(6.476.078.400),117.917.766.525,(6.476.078.400),116983116655.0,-6476078400.0,117917766525.0,-6476078400.0
