row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,Tại ngày31/12/2019,Tại ngày01/01/2019,numeric__Mã số,numeric__TM,numeric__Tại ngày31/12/2019,numeric__Tại ngày01/01/2019
C. Nợ PHẢI TRẢ,C. Nợ PHẢI TRẢ,C. Nợ PHẢI TRẢ,300,,10.575.277.784.351,10.087.182.451.092,300.0,,10575277784351.0,10087182451092.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,3.259.973.773.667,3.008.531.331.884,310.0,,3259973773667.0,3008531331884.0
1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,311,4.13,454.863.718.524,419.294.550.090,311.0,413.0,454863718524.0,419294550090.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,4.14,743.765.436.476,943.023.788.658,312.0,414.0,743765436476.0,943023788658.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,4.15,103.216.575.475,65.930.602.145,313.0,415.0,103216575475.0,65930602145.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,4.16,134.501.759.783,109.635.987.348,314.0,416.0,134501759783.0,109635987348.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,4.17,172.088.876.820,109.066.703.848,315.0,417.0,172088876820.0,109066703848.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,4.18,142.476.824.517,130.197.257.493,318.0,418.0,142476824517.0,130197257493.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,4.19,398.001.771.661,298.285.402.432,319.0,419.0,398001771661.0,298285402432.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,4.20,944.516.149.081,778.492.038.204,320.0,420.0,944516149081.0,778492038204.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,,16.820.610.396,13.973.160.392,321.0,,16820610396.0,13973160392.0
"10. Quý khen thưởng, phúc lợi","10. Quý khen thưởng, phúc lợi","10. Quý khen thưởng, phúc lợi",322,4.21,149.722.050.934,140.631.841.274,322.0,421.0,149722050934.0,140631841274.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,7.315.304.010.684,7.078.651.119.208,330.0,,7315304010684.0,7078651119208.0
1. Người mua trả tiền trước dài hạn,1. Người mua trả tiền trước dài hạn,1. Người mua trả tiền trước dài hạn,332,,4.149.220.218,4.149.220.218,332.0,,4149220218.0,4149220218.0
2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,333,4.17,371.367.150.172,375.645.910.805,333.0,417.0,371367150172.0,375645910805.0
3. Doanh thu chưa thực hiện dài hạn,3. Doanh thu chưa thực hiện dài hạn,3. Doanh thu chưa thực hiện dài hạn,336,4.18,3.863.630.273.332,3.346.344.718.215,336.0,418.0,3863630273332.0,3346344718215.0
4. Phải trả dài hạn khác,4. Phải trả dài hạn khác,4. Phải trả dài hạn khác,337,4.19,161.071.153.338,192.785.852.527,337.0,419.0,161071153338.0,192785852527.0
5. Vay và nợ thuê tài chính dài hạn,5. Vay và nợ thuê tài chính dài hạn,5. Vay và nợ thuê tài chính dài hạn,338,4.20,2.912.969.631.023,3.157.612.658.020,338.0,420.0,2912969631023.0,3157612658020.0
6. Dự phòng phải trả dài hạn,6. Dự phòng phải trả dài hạn,6. Dự phòng phải trả dài hạn,342,,2.116.582.601,2.112.759.423,342.0,,2116582601.0,2112759423.0
