row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2019,Nguyên giá: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,473.850.535.551,15.279.858.395,2.994.843.027,492.125.236.973,473850535551.0,15279858395.0,2994843027.0,492125236973.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,778.750.000,-,778.750.000,,778750000.0,,778750000.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(290.919.999),-,-,(290.919.999),-290919999.0,,,-290919999.0
Tại ngày 31/12/2019,Nguyên giá: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,473.559.615.552,16.058.608.395,2.994.843.027,492.613.066.974,473559615552.0,16058608395.0,2994843027.0,492613066974.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2019,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,94.992.432.217,9.483.033.029,1.766.840.933,106.242.306.179,94992432217.0,9483033029.0,1766840933.0,106242306179.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,8.833.077.082,1.684.284.490,62.024.660,10.579.386.232,8833077082.0,1684284490.0,62024660.0,10579386232.0
Tại ngày 31/12/2019,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,103.825.509.299,11.167.317.519,1.828.865.593,116.821.692.411,103825509299.0,11167317519.0,1828865593.0,116821692411.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2019,Giá trị còn lại: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,378.858.103.334,5.796.825.366,1.228.002.094,385.882.930.794,378858103334.0,5796825366.0,1228002094.0,385882930794.0
Tại ngày 31/12/2019,Giá trị còn lại: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,369.734.106.253,4.891.290.876,1.165.977.434,375.791.374.563,369734106253.0,4891290876.0,1165977434.0,375791374563.0
