row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO),BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_6,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_6
1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,1.5. Các công ty con được hợp nhấtCác công ty con trực tiếp:,,,,,,
STT,STT,STT,Tên công ty,Địa chỉ,Ngành nghề chính,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp trực tiếp,Tỷ lệ lợi ích,,,,,,
1.,STT > 1.,1.,Công ty Cổ phần Cấp nước Đồng Nai,"48 Cách Mạng Thắng Tám, P. Quyết Thắng, TP.Biên Hòa, Tĩnh Đồng Nai",Khai thác nước sạch,"63,99%","63,99%","63,99%",,,,0.6399,0.6399,0.6399
2.,STT > 2.,2.,Công ty Cổ phần Phát triển Đỏ thị Công nghiệp Số 2,"H22 Võ Thị Sáu, P. Thống Nhất, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp","57,94%","57,82%","57,94%",,,,0.5794,0.5782,0.5794
3.,STT > 3.,3.,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,"138 Nguyễn Ái Quốc, P. Trăng Dải, TP. Biên Hòa, Tĩnh Đồng Nai",Sản xuất công nghiệp và dịch vụ,"52,29%","52,29%","52,29%",,,,0.5229,0.5229,0.5229
4.,STT > 4.,4.,Công ty Cổ phần Cắng Đồng Nai,"1B-D3 Khu phố Bình Dương, P. Long Bình Tân, TP. Biên Hòa, Tĩnh Đồng Nai",Kinh doanh dịch vụ cảng biển,"51,00%","51,00%","51,00%",,,,0.51,0.51,0.51
5.,STT > 5.,5.,Công ty Cổ phần Sonadezi Long Thành,"Đường 5, KCN Long Thành, Xã Tam An, Huyện Long Thành, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp","56,28%","51,19%","56,28%",,,,0.5628,0.5119,0.5628
6.,STT > 6.,6.,Công ty Cổ phần Môi trường Sonadezi,"Số 12 Huỳnh Văn Nghệ, P. Bửu Long, TP. Biên Hòa, Tĩnh Đồng Nai",Dịch vụ đồ thị môi trường,"64,04%","64,04%","64,04%",,,,0.6404000000000001,0.6404000000000001,0.6404000000000001
7.,STT > 7.,7.,Công ty Cổ phần Sonadezi Giang Điền,"Số 1, Đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp","51,00%","51,00%","51,00%",,,,0.51,0.51,0.51
(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),,,,,,
