row_label_raw,row_label_full,col_0,Tại ngày 31/12/2019VND,Tại ngày 31/12/2019VND_1,Tại ngày 01/01/2019VND,Tại ngày 01/01/2019VND_1,numeric__Tại ngày 31/12/2019VND,numeric__Tại ngày 31/12/2019VND_1,numeric__Tại ngày 01/01/2019VND,numeric__Tại ngày 01/01/2019VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",48.030.539.519,-,46.511.378.527,-,48030539519.0,,46511378527.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.670.774.952,-,1.937.525.979,-,1670774952.0,,1937525979.0,
Chi phí sản xuất kinh doanh dở dang:,Chi phí sản xuất kinh doanh dở dang:,Chi phí sản xuất kinh doanh dở dang:,405.937.299.559,-,673.611.356.861,-,405937299559.0,,673611356861.0,
"Dự án Khu dân cư Xã Lộc An, Huyện Long Thành","Dự án Khu dân cư Xã Lộc An, Huyện Long Thành","Dự án Khu dân cư Xã Lộc An, Huyện Long Thành",176.155.874.127,-,260.473.776.472,-,176155874127.0,,260473776472.0,
Công trình Chung cư D2D,Công trình Chung cư D2D,Công trình Chung cư D2D,19.398.890.345,-,1.102.691.818,-,19398890345.0,,1102691818.0,
Dự án KDC Trắng Bom,Dự án KDC Trắng Bom,Dự án KDC Trắng Bom,10.805.562.706,-,16.027.774.226,-,10805562706.0,,16027774226.0,
Các dự án khác,Các dự án khác,Các dự án khác,199.576.972.381,-,396.007.114.345,-,199576972381.0,,396007114345.0,
Thành phẩm,Thành phẩm,Thành phẩm,3.731.937.539,-,271.650.752.848,-,3731937539.0,,271650752848.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.086.701.761,-,1.489.057.216,-,1086701761.0,,1489057216.0,
Cộng,Cộng,Cộng,460.457.253.330,-,995.200.071.431,-,460457253330.0,,995200071431.0,
