row_label_raw,row_label_full,col_0,Tại ngày31/12/2019VND,Tại ngày01/01/2019VND,numeric__Tại ngày31/12/2019VND,numeric__Tại ngày01/01/2019VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải trả khác cho bên liên quan - Xem thêm mục 8,Ngắn hạn: > Phải trả khác cho bên liên quan - Xem thêm mục 8,Phải trả khác cho bên liên quan - Xem thêm mục 8,336.000.000,-,336000000.0,
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn: > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",114.754.396.531,120.650.440.921,114754396531.0,120650440921.0
Phải trả ngân sách Nhà nước,Ngắn hạn: > Phải trả ngân sách Nhà nước,Phải trả ngân sách Nhà nước,50.603.731.000,47.783.417.263,50603731000.0,47783417263.0
"Cổ tức, lợi nhuận phải trả","Ngắn hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",158.876.623.451,19.071.462.721,158876623451.0,19071462721.0
Phải trả chi phí đền bù giải tỏa,Ngắn hạn: > Phải trả chi phí đền bù giải tỏa,Phải trả chi phí đền bù giải tỏa,4.209.736.000,7.860.195.000,4209736000.0,7860195000.0
Phải trả dự án Tam An,Ngắn hạn: > Phải trả dự án Tam An,Phải trả dự án Tam An,4.405.394.687,10.504.768.166,4405394687.0,10504768166.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",64.815.889.992,92.415.118.361,64815889992.0,92415118361.0
Cộng,Ngắn hạn: > Cộng,Cộng,398.001.771.661,298.285.402.432,398001771661.0,298285402432.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải trả khác cho bên liên quan - Xem thêm mục 8,Dài hạn: > Phải trả khác cho bên liên quan - Xem thêm mục 8,Phải trả khác cho bên liên quan - Xem thêm mục 8,117.952.800,-,117952800.0,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn: > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",92.078.931.522,78.408.654.215,92078931522.0,78408654215.0
Phí sử dụng mặt bằng công nghiệp,Phí sử dụng mặt bằng công nghiệp,Phí sử dụng mặt bằng công nghiệp,,,,
Khu công nghiệp Giang Điền,Phí sử dụng mặt bằng công nghiệp > Khu công nghiệp Giang Điền,Khu công nghiệp Giang Điền,32.841.523.660,45.168.301.770,32841523660.0,45168301770.0
Phải trả nhà thầu Kumho - Dự án Thiện Tân giai đoạn 2,Phí sử dụng mặt bằng công nghiệp > Phải trả nhà thầu Kumho - Dự án Thiện Tân giai đoạn 2,Phải trả nhà thầu Kumho - Dự án Thiện Tân giai đoạn 2,-,33.127.249.852,,33127249852.0
Phải trả Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam tiền hỗ trợ giải phóng mặt bằng,Phí sử dụng mặt bằng công nghiệp > Phải trả Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam tiền hỗ trợ giải phóng mặt bằng,Phải trả Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam tiền hỗ trợ giải phóng mặt bằng,16.530.632.897,16.530.632.897,16530632897.0,16530632897.0
"Các khoản phải trả, phải nộp khác","Phí sử dụng mặt bằng công nghiệp > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",19.502.112.459,19.551.013.793,19502112459.0,19551013793.0
Cộng,Phí sử dụng mặt bằng công nghiệp > Cộng,Cộng,161.071.153.338,192.785.852.527,161071153338.0,192785852527.0
