row_label_raw,row_label_full,col_0,Tại ngày01/01/2019VND,Tại ngày01/01/2019VND_1,numeric__Tại ngày01/01/2019VND,numeric__Tại ngày01/01/2019VND_1
,,,(Được báo cáo lại),(Đã được báo cáotrước đây),,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,206.843.299.675,206.061.912.637,206843299675.0,206061912637.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,26.097.086.039,26.189.322.797,26097086039.0,26189322797.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,4.443.471.860.284,4.436.619.837.918,4443471860284.0,4436619837918.0
+ Nguyên giá,+ Nguyên giá,+ Nguyên giá,7.437.396.518.861,7.429.927.044.910,7437396518861.0,7429927044910.0
+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,(2.993.924.658.577),(2.993.307.206.992),-2993924658577.0,-2993307206992.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,385.882.930.794,385.385.486.640,385882930794.0,385385486640.0
+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,(106.242.306.179),(106.739.750.333),-106242306179.0,-106739750333.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,2.512.047.802.051,2.511.929.853.869,2512047802051.0,2511929853869.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,798.182.782.444,779.605.513.002,798182782444.0,779605513002.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,65.930.602.145,60.589.642.169,65930602145.0,60589642169.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,109.066.703.848,110.440.086.098,109066703848.0,110440086098.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,298.285.402.432,298.301.992.503,298285402432.0,298301992503.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,702.677.766.183,688.184.463.596,702677766183.0,688184463596.0
+ LNST chưa phân phối lũy kế đến CK trước,+ LNST chưa phân phối lũy kế đến CK trước,+ LNST chưa phân phối lũy kế đến CK trước,356.217.249.084,356.258.888.868,356217249084.0,356258888868.0
+ LNST chưa phân phối kỳ này,+ LNST chưa phân phối kỳ này,+ LNST chưa phân phối kỳ này,346.460.517.099,331.925.574.728,346460517099.0,331925574728.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,2.373.212.475.464,2.364.922.931.282,2373212475464.0,2364922931282.0
