row_label_raw,row_label_full,col_0,Năm 2018VND,Năm 2018VND_1,numeric__Năm 2018VND,numeric__Năm 2018VND_1
,,,(Được báo cáo lại),(Đã được báo cáo trước đây),,
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,2.951.471.510.439,2.977.672.820.845,2951471510439.0,2977672820845.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1.362.901.387.355,1.336.700.076.949,1362901387355.0,1336700076949.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,967.572.224.174,941.370.913.768,967572224174.0,941370913768.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,20.794.592.250,20.229.299.237,20794592250.0,20229299237.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,12.637.605.349,12.072.312.336,12637605349.0,12072312336.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,980.209.829.523,953.443.226.104,980209829523.0,953443226104.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,160.494.712.742,156.576.029.338,160494712742.0,156576029338.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,817.276.795.485,794.428.875.470,817276795485.0,794428875470.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,480.782.057.099,466.247.114.728,480782057099.0,466247114728.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,336.494.738.386,328.181.760.742,336494738386.0,328181760742.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.123,1.085,1123.0,1085.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,1.123,1.085,1123.0,1085.0
