row_label_raw,row_label_full,Khoản mục,"Chỉ phí đền bù,giải tỏa > VND",Cơ sở hạ tầng > VND,"Nhà cửa,vật kiến trúc > VND","Máy móc,thiết bị > VND","Phương tiệnvận tải,truyền dẫnVND",BDS đầu tưkhác > VND,Cộng > VND,"numeric__Chỉ phí đền bù,giải tỏa > VND",numeric__Cơ sở hạ tầng > VND,"numeric__Nhà cửa,vật kiến trúc > VND","numeric__Máy móc,thiết bị > VND","numeric__Phương tiệnvận tải,truyền dẫnVND",numeric__BDS đầu tưkhác > VND,numeric__Cộng > VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
Tại ngày 01/01/2019,Nguyên giá: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,843.015.033.897,1.132.827.257.112,1.411.102.141.836,53.248.689.637,66.797.645.436,3.595.324.602,3.510.586.092.520,843015033897.0,1132827257112.0,1411102141836.0,53248689637.0,66797645436.0,3595324602.0,3510586092520.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,171.307.744.763,243.214.696.763,-,450.748.182,342.272.728,415.315.462.436,,171307744763.0,243214696763.0,,450748182.0,342272728.0,415315462436.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(23.319.059),(1.929.358),(5.084.785.489),-,-,(5.110.033.906),,-23319059.0,-1929358.0,-5084785489.0,,,-5110033906.0
Tại ngày 31/12/2019,Nguyên giá: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,843.015.033.897,1.304.111.682.816,1.654.314.909.241,48.163.904.148,67.248.393.618,3.937.597.330,3.920.791.521.050,843015033897.0,1304111682816.0,1654314909241.0,48163904148.0,67248393618.0,3937597330.0,3920791521050.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,,
Tại ngày 01/01/2019,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,309.052.076.170,378.255.796.265,417.874.058.703,3.527.682.000,30.471.001.745,3.496.993.506,1.142.677.608.389,309052076170.0,378255796265.0,417874058703.0,3527682000.0,30471001745.0,3496993506.0,1142677608389.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,13.304.064.970,103.726.095.527,82.326.408.176,-,4.651.008.783,54.259.096,204.061.836.552,13304064970.0,103726095527.0,82326408176.0,,4651008783.0,54259096.0,204061836552.0
Tại ngày 31/12/2019,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,322.356.141.140,481.981.891.792,500.200.466.879,-,35.122.010.528,3.551.252.602,1.343.211.762.941,322356141140.0,481981891792.0,500200466879.0,,35122010528.0,3551252602.0,1343211762941.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Tại ngày 01/01/2019,Giá trị còn lại: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,533.962.957.727,754.571.460.847,993.228.083.133,49.721.007.637,36.326.643.691,98.331.096,2.367.908.484.131,533962957727.0,754571460847.0,993228083133.0,49721007637.0,36326643691.0,98331096.0,2367908484131.0
