row_label_raw,row_label_full,col_0,Tại ngày 01/01/2019VND,Tại ngày 01/01/2019VND_1,Trong nămVND,Trong nămVND_1,Trong nămVND_2,Tại ngày 31/12/2019VND,Tại ngày 31/12/2019VND_1,numeric__Tại ngày 01/01/2019VND,numeric__Tại ngày 01/01/2019VND_1,numeric__Trong nămVND,numeric__Trong nămVND_1,numeric__Trong nămVND_2,numeric__Tại ngày 31/12/2019VND,numeric__Tại ngày 31/12/2019VND_1
,,,Phải thu,Phải nộp,Phải nộp,Đã nộp,Tăng/giảmdo thoái vốn,Phải thu,Phải nộp,,,,,,,
Thuế giá trịgia tăng,Thuế giá trịgia tăng,Thuế giá trịgia tăng,2.284.839.047,20.434.544.327,278.624.840.009,(286.943.041.757),(72.362.835),-,9.759.140.697,2284839047.0,20434544327.0,278624840009.0,-286943041757.0,-72362835.0,,9759140697.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.016.258.177,33.827.901.854,289.192.964.701,(259.266.754.596),3.845.666.780,5.208.829.125,64.792.349.687,8016258177.0,33827901854.0,289192964701.0,-259266754596.0,3845666780.0,5208829125.0,64792349687.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,21.586.678,4.412.454.468,34.974.445.610,(34.140.217.720),(112.901.109),-,5.112.194.571,21586678.0,4412454468.0,34974445610.0,-34140217720.0,-112901109.0,,5112194571.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,24.037.875,74.918.178,(98.956.053),-,-,-,,24037875.0,74918178.0,-98956053.0,,,
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,650.236.629,22.904.195.211,(21.541.663.778),-,-,2.012.768.062,,650236629.0,22904195211.0,-21541663778.0,,,2012768062.0
"Tiền thuê đất, thuế đất phi nông nghiệp","Tiền thuê đất, thuế đất phi nông nghiệp","Tiền thuê đất, thuế đất phi nông nghiệp",13.401.462.432,432.204.144,86.823.527.481,(65.771.624.799),-,9.000.000.000,17.082.644.394,13401462432.0,432204144.0,86823527481.0,-65771624799.0,,9000000000.0,17082644394.0
"Phí, lệ phí","Phí, lệ phí","Phí, lệ phí",-,368.062.353,7.547.693.481,(7.260.133.018),-,-,655.622.816,,368062353.0,7547693481.0,-7260133018.0,,,655622816.0
Thuế khác,Thuế khác,Thuế khác,9.185.512,5.781.160.495,54.331.705.144,(56.310.977.648),-,9.152.769,3.801.855.248,9185512.0,5781160495.0,54331705144.0,-56310977648.0,,9152769.0,3801855248.0
Cộng,Cộng,Cộng,23.733.331.846,65.930.602.145,774.474.289.815,(731.333.369.369),3.660.402.836,14.217.981.894,103.216.575.475,23733331846.0,65930602145.0,774474289815.0,-731333369369.0,3660402836.0,14217981894.0,103216575475.0
(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),,,,,,,
