row_label_raw,row_label_full,col_0,Kinh doanhkhu công nghiệp > Năm 2019,Kinh doanhkhu công nghiệp > Năm 2018,Kinh doanhnhà và ha tầng > Năm 2019,Kinh doanhnhà và ha tầng > Năm 2018,Kinh doanhcung cấp nước sach > Năm 2019,Kinh doanhcung cấp nước sach > Năm 2018,Kinh doanhdịch vụ cảng > Năm 2019,Kinh doanhdịch vụ cảng > Năm 2018,Kinh doanhxử lý chất thải > Năm 2019,Kinh doanhxử lý chất thải > Năm 2018,Khác > Năm 2019,Khác > Năm 2018,Đơn vị tính: Triệu đồngTổng công > Năm 2019,Đơn vị tính: Triệu đồngTổng công > Năm 2018,numeric__Kinh doanhkhu công nghiệp > Năm 2019,numeric__Kinh doanhkhu công nghiệp > Năm 2018,numeric__Kinh doanhnhà và ha tầng > Năm 2019,numeric__Kinh doanhnhà và ha tầng > Năm 2018,numeric__Kinh doanhcung cấp nước sach > Năm 2019,numeric__Kinh doanhcung cấp nước sach > Năm 2018,numeric__Kinh doanhdịch vụ cảng > Năm 2019,numeric__Kinh doanhdịch vụ cảng > Năm 2018,numeric__Kinh doanhxử lý chất thải > Năm 2019,numeric__Kinh doanhxử lý chất thải > Năm 2018,numeric__Khác > Năm 2019,numeric__Khác > Năm 2018,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2019,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2018
Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,,,,,,,,,,,,,,
Kết quả của bộ phậnChi phí không phân bổ,Kết quả hoạt động kinh doanh hợp nhất > Kết quả của bộ phậnChi phí không phân bổ,Kết quả của bộ phậnChi phí không phân bổ,563.370,467.183,479.978,120.244,416.041,409.880,230.519,200.093,113.626,102.626,67.961,62.875,1.871.495(538.284),1.362.901(484.087),563370.0,467183.0,479978.0,120244.0,416041.0,409880.0,230519.0,200093.0,113626.0,102626.0,67961.0,62875.0,,
Phần lãi hoặc lỗ trongcông ty liên kết,Kết quả hoạt động kinh doanh hợp nhất > Phần lãi hoặc lỗ trongcông ty liên kết,Phần lãi hoặc lỗ trongcông ty liên kết,,,,,,,,,,,,,6.492,9.926,,,,,,,,,,,,,6492.0,9926.0
Lợi nhuận kháckhông phân bổ,Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận kháckhông phân bổ,Lợi nhuận kháckhông phân bổ,,,,,,,,,,,,,19.278,12.638,,,,,,,,,,,,,19278.0,12638.0
"Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính","Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính","Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính",,,,,,,,,,,,,1.358.981,901.378,,,,,,,,,,,,,1358981.0,901378.0
Thu nhập tài chính,Kết quả hoạt động kinh doanh hợp nhất > Thu nhập tài chính,Thu nhập tài chính,,,,,,,,,,,,,237.894,214.976,,,,,,,,,,,,,237894.0,214976.0
Chi phí tài chính,Kết quả hoạt động kinh doanh hợp nhất > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,,,(154.984),(136.144),,,,,,,,,,,,,-154984.0,-136144.0
Lợi nhuận trước thuếThuế thu nhậpdoanh nghiệpChi phí thuế TNDN hoãn lại,Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận trước thuếThuế thu nhậpdoanh nghiệpChi phí thuế TNDN hoãn lại,Lợi nhuận trước thuếThuế thu nhậpdoanh nghiệpChi phí thuế TNDN hoãn lại,,,,,,,,,,,,,1.441.891,980.210,,,,,,,,,,,,,1441891.0,980210.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,,(288.860),(160.495),,,,,,,,,,,,,-288860.0,-160495.0
,,,,,,,,,,,,,,,10.922,(2.438),,,,,,,,,,,,,10922.0,-2438.0
