row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Ngành nghề chính,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp,Tỷ lệ lợi ích,numeric__Tên công ty,numeric__Địa chỉ,numeric__Ngành nghề chính,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ lợi ích
5.,5.,5.,Công ty Cổ phần Đầu tư quốc lộ 91 Cần Thơ - An Giang,"Số 315, Đường Võ Nguyên Giáp, Xã Phước Tân, TP. Biên Hòa, Tĩnh Đồng Nai","Xây dựng công trình giao thông, đầu tư xây dựng công trình giao thông (theo phương thức hợp đồng Xây dựng - Kinh doanh - Chuyển giao (BOT))","39,72%","39,72%","39,72%",,,,0.3972,0.3972,0.3972
6.,6.,6.,Công ty Cổ phần Kinh doanh nhà Đồng Nai,"121 Phan Chu Trinh, P. Quang Vinh, TP. Biên Hòa, Tĩnh Đồng Nai","Kinh doanh nhà và hạ tầng, xây dựng","36,00%","36,00%","36,00%",,,,0.36,0.36,0.36
Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,Các công ty liên kết gián tiếp:,,,,,,
STT,STT,STT,Tên công ty,Địa chỉ,Ngành nghề chính,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp,Tỷ lệ lợi ích,,,,,,
1.,STT > 1.,1.,Công ty Cổ phần Dịch vụ Căng Đồng Nai,"Khu phố Bình Dương, P. Long Bình Tân, TP. Biên Hòa, Tĩnh Đồng Nai","Khai thác cảng, kỹ thuật, cung ứng, logistic","45,00%","45,00%","22,95%",,,,0.45,0.45,0.22949999999999998
2.,STT > 2.,2.,Công ty Cổ phần Cấp nước Gia Tân,"Số 48, Cách Mạng Tháng Tám, P. Quyết Thắng, TP. Biên Hoà, Tĩnh Đồng Nai","Khai thác, xử lý và cung cấp nước","25,00%","25,00%","16,00%",,,,0.25,0.25,0.16
3.,STT > 3.,3.,Công ty Cổ phần Dịch Vụ và Xây dựng Cấp Nước Đồng Nai,"Số 52, Cách Mạng Tháng Tám, P. Quyết Thắng, TP. Biên Hoà, Tĩnh Đồng Nai",Lắp đặt ống cấp thoát nước; thiết kế công trình dân dụng; khai thác nước phục vụ công nghiệp,"36,00%","36,00%","23,04%",,,,0.36,0.36,0.2304
4.,STT > 4.,4.,Công ty Cổ phần Căng Long Thành,"Xã Phước Thái, Huyện Long Thành, Tĩnh Đồng Nai",Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,"30,00%","30,00%","15,30%",,,,0.3,0.3,0.153
5.,STT > 5.,5.,Công ty Cổ phần BOT 319 Cường Thuận CTI,"Số 168, Khu phố 11, P. An Bình, Thành phố Biên Hoà, Tĩnh Đồng Nai",Xây dựng công trình đường sắt và đường bộ,"30,00%","30,00%","20,74%",,,,0.3,0.3,0.20739999999999997
6.,STT > 6.,6.,Công ty Cổ phần Xây Lắp Sonacons,"Số 3, Đường 3, KCN Biên Hòa 1, P. An Bình, TP Biên Hòa, Tĩnh Đồng Nai",Xây dựng công trình,"20,57%","20,57%","10,18%",,,,0.2057,0.2057,0.1018
7.,STT > 7.,7.,Công ty Cổ phần Sanki - Sonadezi,"Số 1, Đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa","Tư vấn, lắp đặt và sửa chữa hệ thống điều hòa không khí, tiết kiệm năng lượng và các dịch vụ tiện ích khác","49,00%","49,00%","24,99%",,,,0.49,0.49,0.24989999999999998
