row_label_raw,row_label_full,col_0,Tại ngày31/12/2019VND,Tại ngày01/01/2019VND,numeric__Tại ngày31/12/2019VND,numeric__Tại ngày01/01/2019VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu khách hàng là các bên liên quan- Xem thêm mục 8,Ngắn hạn: > Phải thu khách hàng là các bên liên quan- Xem thêm mục 8,Phải thu khách hàng là các bên liên quan- Xem thêm mục 8,4.238.470.458,3.066.218.710,4238470458.0,3066218710.0
Phải thu từ khách hàng:,Phải thu từ khách hàng:,Phải thu từ khách hàng:,Phải thu từ khách hàng:,Phải thu từ khách hàng:,,
Phòng Quản lý đô thị Biên Hòa,Phải thu từ khách hàng: > Phòng Quản lý đô thị Biên Hòa,Phòng Quản lý đô thị Biên Hòa,68.521.099.283,149.978.076.795,68521099283.0,149978076795.0
Công ty TNHH MTV Provimi,Phải thu từ khách hàng: > Công ty TNHH MTV Provimi,Công ty TNHH MTV Provimi,32.067.746.390,-,32067746390.0,
Công ty TNHH Cảng Quốc tế Tân Cảng - Cái Mép,Phải thu từ khách hàng: > Công ty TNHH Cảng Quốc tế Tân Cảng - Cái Mép,Công ty TNHH Cảng Quốc tế Tân Cảng - Cái Mép,16.749.367.000,18.152.135.000,16749367000.0,18152135000.0
Công ty TNHH Đông Phương Vũng Tàu,Phải thu từ khách hàng: > Công ty TNHH Đông Phương Vũng Tàu,Công ty TNHH Đông Phương Vũng Tàu,16.318.970.500,3.729.063.394,16318970500.0,3729063394.0
Công ty TNHH Hha - Pro,Phải thu từ khách hàng: > Công ty TNHH Hha - Pro,Công ty TNHH Hha - Pro,13.440.441.412,-,13440441412.0,
Công ty Cổ phần Phân bón Hà Lan Agro,Phải thu từ khách hàng: > Công ty Cổ phần Phân bón Hà Lan Agro,Công ty Cổ phần Phân bón Hà Lan Agro,-,20.516.585.130,,20516585130.0
Phải thu khách hàng khác liên quan đếnhoạt động cung cấp nước sạch,Phải thu từ khách hàng: > Phải thu khách hàng khác liên quan đếnhoạt động cung cấp nước sạch,Phải thu khách hàng khác liên quan đếnhoạt động cung cấp nước sạch,63.480.057.848,77.020.086.450,63480057848.0,77020086450.0
Phải thu khách hàng khác liên quan đếnhoạt động dịch vụ cảng biển,Phải thu từ khách hàng: > Phải thu khách hàng khác liên quan đếnhoạt động dịch vụ cảng biển,Phải thu khách hàng khác liên quan đếnhoạt động dịch vụ cảng biển,67.859.461.458,59.156.301.451,67859461458.0,59156301451.0
Phải thu các khác hàng khác,Phải thu từ khách hàng: > Phải thu các khác hàng khác,Phải thu các khác hàng khác,248.572.727.979,292.708.824.030,248572727979.0,292708824030.0
Cộng,Phải thu từ khách hàng: > Cộng,Cộng,527.009.871.870,621.261.072.250,527009871870.0,621261072250.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải thu các đối tượng khác,Dài hạn: > Phải thu các đối tượng khác,Phải thu các đối tượng khác,301.531.852,84.540.000,301531852.0,84540000.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,
,,,Tại ngày31/12/2019VND,Tại ngày01/01/2019VND,,
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Trả trước cho người bán là các bên liên quan- Xem thêm mục 8,Ngắn hạn: > Trả trước cho người bán là các bên liên quan- Xem thêm mục 8,Trả trước cho người bán là các bên liên quan- Xem thêm mục 8,82.565.000,-,82565000.0,
Trung tâm Phát triển Quỹ đất TP. Biên Hòatiền đến bù đất Khu công nghiệp Giang Điền,Ngắn hạn: > Trung tâm Phát triển Quỹ đất TP. Biên Hòatiền đến bù đất Khu công nghiệp Giang Điền,Trung tâm Phát triển Quỹ đất TP. Biên Hòatiền đến bù đất Khu công nghiệp Giang Điền,248.780.314.330,247.739.300.330,248780314330.0,247739300330.0
Trung tâm Phát triển Quỹ đất Huyện Trắng Bom,Ngắn hạn: > Trung tâm Phát triển Quỹ đất Huyện Trắng Bom,Trung tâm Phát triển Quỹ đất Huyện Trắng Bom,257.621.885.736,185.238.695.181,257621885736.0,185238695181.0
Hội đồng bởi thường Huyện Châu Đức,Ngắn hạn: > Hội đồng bởi thường Huyện Châu Đức,Hội đồng bởi thường Huyện Châu Đức,67.989.986.873,-,67989986873.0,
Trung tâm quỹ đất Huyện Vĩnh Cửu,Ngắn hạn: > Trung tâm quỹ đất Huyện Vĩnh Cửu,Trung tâm quỹ đất Huyện Vĩnh Cửu,60.751.829.917,55.587.431.869,60751829917.0,55587431869.0
Nhà thầu Kumho Industrial,Ngắn hạn: > Nhà thầu Kumho Industrial,Nhà thầu Kumho Industrial,-,64.347.260.399,,64347260399.0
Các đối tượng khác,Ngắn hạn: > Các đối tượng khác,Các đối tượng khác,103.525.684.236,140.835.354.804,103525684236.0,140835354804.0
Cộng,Ngắn hạn: > Cộng,Cộng,738.752.266.092,693.748.042.583,738752266092.0,693748042583.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Các đối tượng khác,Dài hạn: > Các đối tượng khác,Các đối tượng khác,200.000.000,451.959.047,200000000.0,451959047.0
