row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2019,Năm 2018,numeric__Mã số,numeric__TM,numeric__Năm 2019,numeric__Năm 2018
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,1.441.891.046.706,980.209.829.523,1.0,,1441891046706.0,980209829523.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
Khấu hao TSCĐ và BĐSĐT,2. Điều chỉnh cho các khoản: > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,5.7,697.275.178.533,589.690.258.293,2.0,57.0,697275178533.0,589690258293.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,3.002.685.458,(15.927.991.773),3.0,,3002685458.0,-15927991773.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ",04,,18.890.543.207,17.752.452.767,4.0,,18890543207.0,17752452767.0
"Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản: > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,,(244.321.073.646),(212.288.973.679),5.0,,-244321073646.0,-212288973679.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,5.4,131.325.298.228,116.284.022.561,6.0,54.0,131325298228.0,116284022561.0
Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,,-,(4.210.002.611),7.0,,,-4210002611.0
3. Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,08,,2.048.063.678.486,1.471.509.595.081,8.0,,2048063678486.0,1471509595081.0
"Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,,46.863.837.503,(6.375.213.368),9.0,,46863837503.0,-6375213368.0
"Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,69.488.512.599,178.563.351.820,10.0,,69488512599.0,178563351820.0
"Tăng, giảm các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,778.796.772.306,666.404.609.792,11.0,,778796772306.0,666404609792.0
Tăng giảm chi phí trả trước,2. Điều chỉnh cho các khoản: > Tăng giảm chi phí trả trước,Tăng giảm chi phí trả trước,12,,69.354.418.013,(2.658.987.579),12.0,,69354418013.0,-2658987579.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(125.180.572.151),(116.730.641.168),14.0,,-125180572151.0,-116730641168.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,4.15,(259.266.754.596),(103.465.249.811),15.0,415.0,-259266754596.0,-103465249811.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,3.399.790.855,6.757.110.803,16.0,,3399790855.0,6757110803.0
Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,(101.910.130.387),(97.130.403.157),17.0,,-101910130387.0,-97130403157.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,2.529.609.552.628,1.996.874.172.413,20.0,,2529609552628.0,1996874172413.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác",21,,(1.354.383.401.744),(1.420.243.834.244),21.0,,-1354383401744.0,-1420243834244.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác",22,,2.058.399.520,2.164.872.727,22.0,,2058399520.0,2164872727.0
"3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác",23,,(3.618.572.596.990),(2.472.952.477.571),23.0,,-3618572596990.0,-2472952477571.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác",24,,2.592.601.663.428,2.176.068.958.480,24.0,,2592601663428.0,2176068958480.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(7.203.600.000),(32.455.000.000),25.0,,-7203600000.0,-32455000000.0
