row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc, thiết bịVND","Phương tiện vận tải, truyền dẫnVND",Thiết bị công cụquản lýVND,TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, thiết bịVND","numeric__Phương tiện vận tải, truyền dẫnVND",numeric__Thiết bị công cụquản lýVND,numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,,,,,,
Tại ngày 01/01/2019,Nguyên giá: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,2.836.590.989.143,1.366.889.923.549,3.018.335.516.473,78.520.021.997,137.060.067.699,7.437.396.518.861,2836590989143.0,1366889923549.0,3018335516473.0,78520021997.0,137060067699.0,7437396518861.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,190.114.758.428,80.424.644.830,168.320.001.819,4.860.985.195,1.769.892.380,445.490.282.652,190114758428.0,80424644830.0,168320001819.0,4860985195.0,1769892380.0,445490282652.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,81.995.990.144,10.400.568.129,33.482.138.279,1.993.754.705,407.529.636,128.279.980.893,81995990144.0,10400568129.0,33482138279.0,1993754705.0,407529636.0,128279980893.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,373.398.403,5.151.604.974,-,31.915.302,-,5.556.918.679,373398403.0,5151604974.0,,31915302.0,,5556918679.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.558.771.108),(3.912.185.785),(1.750.619.950),(1.500.000.738),(187.162.570),(9.908.740.151),-2558771108.0,-3912185785.0,-1750619950.0,-1500000738.0,-187162570.0,-9908740151.0
Giảm do thoái vốn công ty con,Nguyên giá: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(131.001.750),(242.668.182),(2.621.406.214),-,(92.123.594.753),(95.118.670.899),-131001750.0,-242668182.0,-2621406214.0,,-92123594753.0,-95118670899.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(6.217.568.184),(10.320.668.650),(12.021.052.098),-,(252.000.000),(28.811.288.932),-6217568184.0,-10320668650.0,-12021052098.0,,-252000000.0,-28811288932.0
Tại ngày 31/12/2019,Nguyên giá: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,3.100.167.795.076,1.448.391.218.865,3.203.744.578.309,83.906.676.461,46.674.732.392,7.882.885.001.103,3100167795076.0,1448391218865.0,3203744578309.0,83906676461.0,46674732392.0,7882885001103.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,,,,,,,
Tại ngày 01/01/2019,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,1.227.215.835.576,585.991.118.215,1.105.699.677.500,55.616.423.217,19.401.604.069,2.993.924.658.577,1227215835576.0,585991118215.0,1105699677500.0,55616423217.0,19401604069.0,2993924658577.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,155.270.662.100,105.794.961.775,142.089.138.614,7.894.830.716,7.379.241.899,418.428.835.104,155270662100.0,105794961775.0,142089138614.0,7894830716.0,7379241899.0,418428835104.0
Tăng khác,Giá trị hao mòn lũy kế: > Tăng khác,Tăng khác,-,3.527.682.000,-,-,-,3.527.682.000,,3527682000.0,,,,3527682000.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.059.431.549),(3.912.185.785),(1.772.792.634),(1.500.000.738),(187.162.570),(10.431.573.276),-3059431549.0,-3912185785.0,-1772792634.0,-1500000738.0,-187162570.0,-10431573276.0
Giảm do thoái vốn công ty con,Giá trị hao mòn lũy kế: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(100.435.600),(213.102.817),(1.233.409.800),-,-,(1.546.948.217),-100435600.0,-213102817.0,-1233409800.0,,,-1546948217.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,(345.967.403),(4.588.105.765),(3.954.068.061),-,(252.000.000),(9.140.141.229),-345967403.0,-4588105765.0,-3954068061.0,,-252000000.0,-9140141229.0
Tại ngày 31/12/2019,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,1.378.980.663.124,686.600.367.623,1.240.828.545.619,62.011.253.195,26.341.683.398,3.394.762.512.959,1378980663124.0,686600367623.0,1240828545619.0,62011253195.0,26341683398.0,3394762512959.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,,,,,,
Tại ngày 01/01/2019,Giá trị còn lại: > Tại ngày 01/01/2019,Tại ngày 01/01/2019,1.609.375.153.567,780.898.805.334,1.912.635.838.973,22.903.598.780,117.658.463.630,4.443.471.860.284,1609375153567.0,780898805334.0,1912635838973.0,22903598780.0,117658463630.0,4443471860284.0
Tại ngày 31/12/2019,Giá trị còn lại: > Tại ngày 31/12/2019,Tại ngày 31/12/2019,1.721.187.131.952,761.790.851.242,1.962.916.032.690,21.895.423.266,20.333.048.994,4.488.122.488.144,1721187131952.0,761790851242.0,1962916032690.0,21895423266.0,20333048994.0,4488122488144.0
