row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác:,Tại ngày 31/12/2019VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 31/12/2019VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 31/12/2019VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 01/01/2019VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 01/01/2019VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 01/01/2019VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 31/12/2019VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 31/12/2019VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 31/12/2019VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 01/01/2019VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 01/01/2019VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 01/01/2019VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:
Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,Công ty Cổ phần đầu khí đầu tư khai thác,,,,,,
Căng Phước An,Công ty Cổ phần đầu khí đầu tư khai thác > Căng Phước An,Căng Phước An,-,,-,71.446.310.986,(*),(1.093.241.670),,,,71446310986.0,,-1093241670.0
Công ty Cổ phần Amata,Công ty Cổ phần đầu khí đầu tư khai thác > Công ty Cổ phần Amata,Công ty Cổ phần Amata,41.550.395.294,(*),-,41.550.395.294,(*),-,41550395294.0,,,41550395294.0,,
Công ty CP Cấp nước Châu Đức,Công ty Cổ phần đầu khí đầu tư khai thác > Công ty CP Cấp nước Châu Đức,Công ty CP Cấp nước Châu Đức,16.500.000.000,(*),-,15.000.000.000,(*),-,16500000000.0,,,15000000000.0,,
Công ty Cổ phần Cấu Kiện Bê Tông Nhơn Trạch 2,Công ty Cổ phần đầu khí đầu tư khai thác > Công ty Cổ phần Cấu Kiện Bê Tông Nhơn Trạch 2,Công ty Cổ phần Cấu Kiện Bê Tông Nhơn Trạch 2,11.250.000.000,(*),(1.590.683.100),11.250.000.000,(*),(1.699.785.761),11250000000.0,,-1590683100.0,11250000000.0,,-1699785761.0
Công ty Cổ phần Địa Óc Thảo Điền,Công ty Cổ phần đầu khí đầu tư khai thác > Công ty Cổ phần Địa Óc Thảo Điền,Công ty Cổ phần Địa Óc Thảo Điền,10.000.000.000,(*),-,10.000.000.000,(*),-,10000000000.0,,,10000000000.0,,
Công ty Cổ phần Đầu tư và Xây dựng Cầu ĐồngNai (BOT Cầu Đồng Nai),Công ty Cổ phần đầu khí đầu tư khai thác > Công ty Cổ phần Đầu tư và Xây dựng Cầu ĐồngNai (BOT Cầu Đồng Nai),Công ty Cổ phần Đầu tư và Xây dựng Cầu ĐồngNai (BOT Cầu Đồng Nai),72.516.189.000,(*),-,74.316.189.000,(*),-,72516189000.0,,,74316189000.0,,
Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần đầu khí đầu tư khai thác > Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần Cấp Nước Long Khánh,1.054.088.000,(*),-,1.054.088.000,(*),-,1054088000.0,,,1054088000.0,,
Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần đầu khí đầu tư khai thác > Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần Công trình Giao thông Đồng Nai,1.711.890.000,11.462.220.000,-,1.711.890.000,7.170.090.000,-,1711890000.0,11462220000.0,,1711890000.0,7170090000.0,
Cộng,Công ty Cổ phần đầu khí đầu tư khai thác > Cộng,Cộng,154.582.562.294,,(1.590.683.100),226.328.873.280,,(2.793.027.431),154582562294.0,,-1590683100.0,226328873280.0,,-2793027431.0
