row_label_raw,row_label_full,col_0,Tại ngày 01/01/2019VND > Giá trị,Tại ngày 01/01/2019VND > Số có khả năng trả nợ,Trong kỳVND > Tăng,Trong kỳVND > Giảm,Tại ngày 31/12/2019VND > Giá trị,Tại ngày 31/12/2019VND > Số có khả năng trả nợ,numeric__Tại ngày 01/01/2019VND > Giá trị,numeric__Tại ngày 01/01/2019VND > Số có khả năng trả nợ,numeric__Trong kỳVND > Tăng,numeric__Trong kỳVND > Giảm,numeric__Tại ngày 31/12/2019VND > Giá trị,numeric__Tại ngày 31/12/2019VND > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,778.492.038.204,778.492.038.204,1.442.919.493.379,1.276.895.382.502,944.516.149.081,944.516.149.081,778492038204.0,778492038204.0,1442919493379.0,1276895382502.0,944516149081.0,944516149081.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,3.157.612.658.020,3.157.612.658.020,322.131.716.964,566.774.743.961,2.912.969.631.023,2.912.969.631.023,3157612658020.0,3157612658020.0,322131716964.0,566774743961.0,2912969631023.0,2912969631023.0
Cộng,Cộng,Cộng,3.936.104.696.224,3.936.104.696.224,1.765.051.210.343,1.843.670.126.463,3.857.485.780.104,3.857.485.780.104,3936104696224.0,3936104696224.0,1765051210343.0,1843670126463.0,3857485780104.0,3857485780104.0
,,,,,(Xem tiếp trang sau),(Xem tiếp trang sau),,,,,,,,
