row_label_raw,row_label_full,Stt,Nội dung,Trước kiểm toán,Sau kiểm toán,Tỷ lệ,numeric__Nội dung,numeric__Trước kiểm toán,numeric__Sau kiểm toán,numeric__Tỷ lệ
3,3,3,Doanh thu thuần bán hàngvá cung cấp dịch vụ,4.979.142.843.210,4.961.315.812.746,"-0,36%",,4979142843210.0,4961315812746.0,-0.0036
4,4,4,Giá vốn hàng bán,3.074.122.658.664,3.089.821.070.576,"0,51%",,3074122658664.0,3089821070576.0,0.0051
5,5,5,Lợi nhuận gộp về bán hàngvà cung cấp dịch vụ,1.905.020.184.546,1.871.494.742.170,"-1,76%",,1905020184546.0,1871494742170.0,-0.0176
6,6,6,Doanh thu hoạt động tài chính,288.654.349.361,237.893.919.347,"-17,59%",,288654349361.0,237893919347.0,-0.1759
7,7,7,Chi phí tài chính,153.326.902.336,154.984.455.336,"1,08%",,153326902336.0,154984455336.0,0.0108
,,,Trong đó: chi phí lãi vay,127.588.311.521,131.324.940.651,"2,93%",,127588311521.0,131324940651.0,0.029300000000000003
8,8,8,Phần lãi hoặc lỗ trong Công ty liên kết,6.945.573.317,6.491.635.540,"-6,54%",,6945573317.0,6491635540.0,-0.0654
9,9,9,Chi phí bán hàng,128.145.184.871,128.145.184.871,-,,128145184871.0,128145184871.0,
10,10,10,Chi phí quản lý doanh nghiệp,451.598.656.039,410.137.767.898,"-9,18%",,451598656039.0,410137767898.0,-0.09179999999999999
11,11,11,Lợi nhuận thuần từ hoạt động kinh doanh,1.467.549.363.978,1.422.612.888.952,"-3,06%",,1467549363978.0,1422612888952.0,-0.030600000000000002
12,12,12,Thu nhập khác,24.915.166.471,24.169.215.810,"-2,99%",,24915166471.0,24169215810.0,-0.029900000000000003
13,13,13,Chi phí khác,18.121.042.913,4.891.058.056,"-73,01%",,18121042913.0,4891058056.0,-0.7301000000000001
14,14,14,Lợi nhuận khác,6.794.123.558,19.278.157.754,"183,75%",,6794123558.0,19278157754.0,1.8375
15,15,15,Tổng lợi nhuận kế toán trước thuế,1.474.343.487.536,1.441.891.046.706,"-2,20%",,1474343487536.0,1441891046706.0,-0.022000000000000002
16,16,16,Chi phí thuế TNDN hiện hành,273.495.878.596,288.860.245.969,"5,62%",,273495878596.0,288860245969.0,0.0562
17,17,17,Chi phí thuế TNDN hoãn lại,8.983.689.714,(10.921.749.134),"-221,57%",,8983689714.0,-10921749134.0,-2.2157
18,18,18,Lợi nhuận sau thuế TNDN,1.191.863.919.226,1.163.952.549.871,"-2,34%",,1191863919226.0,1163952549871.0,-0.023399999999999997
19,19,19,Lợi nhuận sau thuế của công ty mẹ,674.782.943.188,655.639.571.698,"-2,84%",,674782943188.0,655639571698.0,-0.028399999999999998
20,20,20,Lợi nhuận sau thuế của cổ đông không kiểm soát,517.080.976.038,508.312.978.173,"-1,70%",,517080976038.0,508312978173.0,-0.017
21,21,21,Lãi cơ bản và lãi suy giảm trên cổ phiếu,1.792,1.570,"-12,39%",,1792.0,1570.0,-0.12390000000000001
