row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2019,Tại ngày 01/01/2019,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2019,numeric__Tại ngày 01/01/2019
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,6.339.125.173.652,5.656.799.712.816,100.0,,6339125173652.0,5656799712816.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4.1,1.541.432.193.346,1.027.290.066.703,110.0,41.0,1541432193346.0,1027290066703.0
1. Tiền,1. Tiền,1. Tiền,111,,502.020.881.719,441.182.752.394,111.0,,502020881719.0,441182752394.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.039.411.311.627,586.107.314.309,112.0,,1039411311627.0,586107314309.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,2.886.894.901.109,2.059.440.993.970,120.0,,2886894901109.0,2059440993970.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,4.2,2.886.894.901.109,2.059.440.993.970,123.0,42.0,2886894901109.0,2059440993970.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.393.345.952.888,1.502.886.442.223,130.0,,1393345952888.0,1502886442223.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,4.3,527.009.871.870,621.261.072.250,131.0,43.0,527009871870.0,621261072250.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,4.4,738.752.266.092,693.748.042.583,132.0,44.0,738752266092.0,693748042583.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,4.5,150.503.796.966,206.843.299.675,136.0,45.0,150503796966.0,206843299675.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,4.6,(22.919.982.040),(18.965.972.285),137.0,46.0,-22919982040.0,-18965972285.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,460.457.253.330,995.200.071.431,140.0,,460457253330.0,995200071431.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,4.7,460.457.253.330,995.200.071.431,141.0,47.0,460457253330.0,995200071431.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,56.994.872.979,71.982.138.489,150.0,,56994872979.0,71982138489.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,4.12,25.035.496.394,21.320.648.779,151.0,412.0,25035496394.0,21320648779.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,17.741.394.691,26.097.086.039,152.0,,17741394691.0,26097086039.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,4.15,14.217.981.894,23.733.331.846,153.0,415.0,14217981894.0,23733331846.0
4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,155,,-,831.071.825,155.0,,,831071825.0
