row_label_raw,row_label_full,col_0,Tại ngày31/12/2019VND,Tại ngày01/01/2019VND,numeric__Tại ngày31/12/2019VND,numeric__Tại ngày01/01/2019VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất tại Khu công nghiệp Biên Hòa 1,Ngắn hạn: > Tiền thuê đất tại Khu công nghiệp Biên Hòa 1,Tiền thuê đất tại Khu công nghiệp Biên Hòa 1,20.125.858.044,16.975.373.525,20125858044.0,16975373525.0
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,1.198.307.878,682.047.225,1198307878.0,682047225.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,3.711.330.472,3.663.228.029,3711330472.0,3663228029.0
Cộng,Ngắn hạn: > Cộng,Cộng,25.035.496.394,21.320.648.779,25035496394.0,21320648779.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,364.520.460.224,330.531.187.728,364520460224.0,330531187728.0
Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,Dài hạn: > Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,194.060.716.797,194.394.474.413,194060716797.0,194394474413.0
"Công cụ, dụng cụ, chi phí khác chờ phân bổ","Dài hạn: > Công cụ, dụng cụ, chi phí khác chờ phân bổ","Công cụ, dụng cụ, chi phí khác chờ phân bổ",13.624.775.215,5.584.130.690,13624775215.0,5584130690.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,207.884.365.909,267.672.989.613,207884365909.0,267672989613.0
Cộng,Dài hạn: > Cộng,Cộng,780.090.318.145,798.182.782.444,780090318145.0,798182782444.0
