row_label_raw,row_label_full,col_0,Tại ngày 31/12/2019VND > Giá trị,Tại ngày 31/12/2019VND > Số có khả năng trả nợ,Tại ngày 01/01/2019VND > Giá trị,Tại ngày 01/01/2019VND > Số có khả năng trả nợ,numeric__Tại ngày 31/12/2019VND > Giá trị,numeric__Tại ngày 31/12/2019VND > Số có khả năng trả nợ,numeric__Tại ngày 01/01/2019VND > Giá trị,numeric__Tại ngày 01/01/2019VND > Số có khả năng trả nợ
Phải trả cho các bên liên quan - Xem thêm mục 8,Phải trả cho các bên liên quan - Xem thêm mục 8,Phải trả cho các bên liên quan - Xem thêm mục 8,35.747.895.654,35.747.895.654,25.446.006.102,25.446.006.102,35747895654.0,35747895654.0,25446006102.0,25446006102.0
Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,,,,
Công ty TNHH Dịch vụ Hàng hải HPS Marine,Phải trả cho người bán: > Công ty TNHH Dịch vụ Hàng hải HPS Marine,Công ty TNHH Dịch vụ Hàng hải HPS Marine,35.303.404.000,35.303.404.000,27.706.202.000,27.706.202.000,35303404000.0,35303404000.0,27706202000.0,27706202000.0
Doanh nghiệp tư nhân Duy Khương,Phải trả cho người bán: > Doanh nghiệp tư nhân Duy Khương,Doanh nghiệp tư nhân Duy Khương,22.623.057.255,22.623.057.255,30.965.225.464,30.965.225.464,22623057255.0,22623057255.0,30965225464.0,30965225464.0
Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Phải trả cho người bán: > Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,-,-,9.452.902.787,9.452.902.787,,,9452902787.0,9452902787.0
Hội đồng bồi thường Huyện Châu Đức,Phải trả cho người bán: > Hội đồng bồi thường Huyện Châu Đức,Hội đồng bồi thường Huyện Châu Đức,-,-,8.914.675.856,8.914.675.856,,,8914675856.0,8914675856.0
Phải trả cho các đối tượng khác,Phải trả cho người bán: > Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,361.189.361.615,361.189.361.615,316.809.537.881,316.809.537.881,361189361615.0,361189361615.0,316809537881.0,316809537881.0
Cộng,Phải trả cho người bán: > Cộng,Cộng,454.863.718.524,454.863.718.524,419.294.550.090,419.294.550.090,454863718524.0,454863718524.0,419294550090.0,419294550090.0
4.14. Người mua trả tiền trước ngắn hạn,4.14. Người mua trả tiền trước ngắn hạn,4.14. Người mua trả tiền trước ngắn hạn,4.14. Người mua trả tiền trước ngắn hạn,4.14. Người mua trả tiền trước ngắn hạn,4.14. Người mua trả tiền trước ngắn hạn,4.14. Người mua trả tiền trước ngắn hạn,,,,
,,,,Tại ngày31/12/2019VND,Tại ngày01/01/2019VND,,,,,
Khách hàng trả trước tiền mua nhà và đất:,4.14. Người mua trả tiền trước ngắn hạn > Khách hàng trả trước tiền mua nhà và đất:,Khách hàng trả trước tiền mua nhà và đất:,,455.222.677.250,776.471.714.837,,,455222677250.0,776471714837.0,
Khách hàng trả trước tiền chuyển quyền sử dụng đất Khu dân cư Lộc An Khác,4.14. Người mua trả tiền trước ngắn hạn > Khách hàng trả trước tiền chuyển quyền sử dụng đất Khu dân cư Lộc An Khác,Khách hàng trả trước tiền chuyển quyền sử dụng đất Khu dân cư Lộc An Khác,,447.545.202.815,324.945.975.157,,,447545202815.0,324945975157.0,
Khách hàng trả trước tiền chuyển quyền sử dụng đất Khu dân cư Lộc An Khác,4.14. Người mua trả tiền trước ngắn hạn > Khách hàng trả trước tiền chuyển quyền sử dụng đất Khu dân cư Lộc An Khác,Khách hàng trả trước tiền chuyển quyền sử dụng đất Khu dân cư Lộc An Khác,,7.677.474.435,451.525.739.680,,,7677474435.0,451525739680.0,
Công ty TNHH Concord International (Việt Nam),4.14. Người mua trả tiền trước ngắn hạn > Công ty TNHH Concord International (Việt Nam),Công ty TNHH Concord International (Việt Nam),,92.159.641.728,-,,,92159641728.0,,
Đối tượng khác,4.14. Người mua trả tiền trước ngắn hạn > Đối tượng khác,Đối tượng khác,,196.383.117.498,166.552.073.821,,,196383117498.0,166552073821.0,
Cộng,4.14. Người mua trả tiền trước ngắn hạn > Cộng,Cộng,,743.765.436.476,943.023.788.658,,,743765436476.0,943023788658.0,
