row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị ghi số ghi nhận tại ngày mua,numeric__Đơn vị tính: VNDGiá trị ghi số ghi nhận tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,48.255.742.314,48255742314.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,131.020.000.000,131020000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,2.771.109.335.373,2771109335373.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.867.267.628.472,1867267628472.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,118.855.123.025,118855123025.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,430.000.000.000,430000000000.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,444.867.782.125,444867782125.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,17.245.277.411,17245277411.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,638.235.442.204,638235442204.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,26.816.180,26816180.0
,,,6.466.883.147.104,6466883147104.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,4.833.619.071.171,4833619071171.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,68.808.459.511,68808459511.0
,,,4.902.427.530.682,4902427530682.0
Tổng tài sản thuần theo giá trị ghi số [a],Nợ phải trả > Tổng tài sản thuần theo giá trị ghi số [a],Tổng tài sản thuần theo giá trị ghi số [a],1.564.455.616.422,1564455616422.0
Cổ đông không kiểm soát [b],Nợ phải trả > Cổ đông không kiểm soát [b],Cổ đông không kiểm soát [b],168.961.206.574,168961206574.0
Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],Nợ phải trả > Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],791.955.590.152,791955590152.0
Tổng giá phí hợp nhất kinh doanh đã thanh toán [d] = [a] - [b] + [c],Nợ phải trả > Tổng giá phí hợp nhất kinh doanh đã thanh toán [d] = [a] - [b] + [c],Tổng giá phí hợp nhất kinh doanh đã thanh toán [d] = [a] - [b] + [c],2.187.450.000.000,2187450000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,48.255.742.314,48255742314.0
Tiền chi để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con,Tiền chi để mua công ty con,(2.187.450.000.000),-2187450000000.0
Tổng tiền thuần đã chi cho nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần đã chi cho nghiệp vụ mua,Tổng tiền thuần đã chi cho nghiệp vụ mua,(2.139.194.257.686),-2139194257686.0
