row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị: VNDNăm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,26,1.507.695.182.689,1.573.851.862.002,,1.0,26.0,1507695182689.0,1573851862002.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,1.507.695.182.689,1.573.851.862.002,,10.0,,1507695182689.0,1573851862002.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,27,977.812.098.227,934.950.461.528,,11.0,27.0,977812098227.0,934950461528.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,529.883.084.462,638.901.400.474,,20.0,,529883084462.0,638901400474.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,29,194.853.524.023,132.098.556.869,,21.0,29.0,194853524023.0,132098556869.0
6.,6.,6.,Chi phí tài chính,22,30,194.727.814.927,149.010.624.196,,22.0,30.0,194727814927.0,149010624196.0
,,,- Trong đó: Chi phí lãi vay,23,,190.083.869.017,133.833.333.333,,23.0,,190083869017.0,133833333333.0
7.,7.,7.,Phần lãi trong công ty liên kết,24,,27.284.182,,,24.0,,27284182.0,
8.,8.,8.,Chi phí bán hàng,25,31,183.223.021.840,32.474.509.145,,25.0,31.0,183223021840.0,32474509145.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,31,29.438.251.619,14.895.629.029,,26.0,31.0,29438251619.0,14895629029.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,317.374.804.281,574.619.194.973,,30.0,,317374804281.0,574619194973.0
11.,11.,11.,Thu nhập khác,31,,1.167.236.424,28.322.738,,31.0,,1167236424.0,28322738.0
12.,12.,12.,Chi phí khác,32,32,28.847.020.460,16.100.667.248,,32.0,32.0,28847020460.0,16100667248.0
13.,13.,13.,Lỗ khác (40=31-32),40,,(27.679.784.036),(16.072.344.510),,40.0,,-27679784036.0,-16072344510.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,289.695.020.245,558.546.850.463,,50.0,,289695020245.0,558546850463.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,33,60.972.346.785,111.861.570.265,,51.0,33.0,60972346785.0,111861570265.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,33,1.504.243.490,,,52.0,33.0,1504243490.0,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,227.218.429.970,446.685.280.198,,60.0,,227218429970.0,446685280198.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,192.927.664.084,446.685.280.198,,61.0,,192927664084.0,446685280198.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,34.290.765.886,,,62.0,,34290765886.0,
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,34,,1.787,,70.0,34.0,,1787.0
