row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > VNDTăng do hợp nhất kinh doanh dưới sự kiểm soát chung,Trong năm > VNDTăng,Trong năm > VNDGiảm,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDTăng do hợp nhất kinh doanh dưới sự kiểm soát chung,numeric__Trong năm > VNDTăng,numeric__Trong năm > VNDGiảm,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Công ty Cổ phần Tập đoàn Sunshine (i),Công ty Cổ phần Tập đoàn Sunshine (i),Công ty Cổ phần Tập đoàn Sunshine (i),-,1.900.000.000.000,-,-,1.900.000.000.000,,1900000000000.0,,,1900000000000.0
Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội (ii),Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội (ii),Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội (ii),1.200.000.000.000,-,-,-,1.200.000.000.000,1200000000000.0,,,,1200000000000.0
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng (iii),Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng (iii),Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng (iii),-,57.245.203.000,-,-,57.245.203.000,,57245203000.0,,,57245203000.0
Công ty Cổ phần Tập đoàn Sunshine International Property Technology (iv),Công ty Cổ phần Tập đoàn Sunshine International Property Technology (iv),Công ty Cổ phần Tập đoàn Sunshine International Property Technology (iv),-,-,15.000.000.000,-,15.000.000.000,,,15000000000.0,,15000000000.0
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Thủ Thiêm (v),Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Thủ Thiêm (v),Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Thủ Thiêm (v),-,8.250.000.000,-,-,8.250.000.000,,8250000000.0,,,8250000000.0
Bà Vũ Thị Huệ (vi),Bà Vũ Thị Huệ (vi),Bà Vũ Thị Huệ (vi),-,4.817.500.000,-,-,4.817.500.000,,4817500000.0,,,4817500000.0
,,,1.200.000.000.000,1.970.312.703.000,15.000.000.000,-,3.185.312.703.000,1200000000000.0,1970312703000.0,15000000000.0,,3185312703000.0
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,1.200.000.000.000,,,,3.104.500.000.00080.812.703.000,1200000000000.0,,,,3.104500000000808e+23
