row_label_raw,row_label_full,col_0,Số đầu năm,Trong năm,Trong năm_1,Trong năm_2,Số cuối năm,numeric__Số đầu năm,numeric__Trong năm,numeric__Trong năm_1,numeric__Trong năm_2,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,,,,,
,,,Giá trị/ Số có khả năng trả nợ,Tăng do hợp nhất kinh doanh dưới sự kiểm soát chung,Tăng,Giảm,Giá trị/ Số có khả năng trả nợ,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,-,410.573.228.098,278.720.822.122,63.224.098.868,626.069.951.352,,410573228098.0,278720822122.0,63224098868.0,626069951352.0
Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính (i),Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính (i),Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính (i),-,410.573.228.098,5.520.822.122,20.024.098.868,396.069.951.352,,410573228098.0,5520822122.0,20024098868.0,396069951352.0
Bà Nguyễn Thị Tố Hoài (ii),Bà Nguyễn Thị Tố Hoài (ii),Bà Nguyễn Thị Tố Hoài (ii),-,-,200.000.000.000,-,200.000.000.000,,,200000000000.0,,200000000000.0
Công ty Cổ phần Sunshine Homes (iii),Công ty Cổ phần Sunshine Homes (iii),Công ty Cổ phần Sunshine Homes (iii),-,-,20.000.000.000,-,20.000.000.000,,,20000000000.0,,20000000000.0
Bà Vũ Thị Huệ (iv),Bà Vũ Thị Huệ (iv),Bà Vũ Thị Huệ (iv),-,-,53.200.000.000,43.200.000.000,10.000.000.000,,,53200000000.0,43200000000.0,10000000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,-,1.900.750.000.000,1.204.500.000.000,750.000.000,3.104.500.000.000,,1900750000000.0,1204500000000.0,750000000.0,3104500000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,-,1.900.000.000.000,-,-,1.900.000.000.000,,1900000000000.0,,,1900000000000.0
Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,-,-,1.200.000.000.000,-,1.200.000.000.000,,,1200000000000.0,,1200000000000.0
Ngân hàng Thương mại cố phần Công Thương Việt Nam,Ngân hàng Thương mại cố phần Công Thương Việt Nam,Ngân hàng Thương mại cố phần Công Thương Việt Nam,-,750.000.000,4.500.000.000,750.000.000,4.500.000.000,,750000000.0,4500000000.0,750000000.0,4500000000.0
Trái phiếu ngắn hạn (v),Trái phiếu ngắn hạn (v),Trái phiếu ngắn hạn (v),-,-,515.086.301.370,-,515.086.301.370,,,515086301370.0,,515086301370.0
,,,-,2.311.323.228.098,1.998.307.123.492,63.974.098.868,4.245.656.252.722,,2311323228098.0,1998307123492.0,63974098868.0,4245656252722.0
