row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Nhà cửa,vật kiến trúc_1","Phương tiện vậntải, truyền dẫn",Thiết bịvăn phòng,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Nhà cửa,vật kiến trúc_1","numeric__Phương tiện vậntải, truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tổng
,,,,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,,-,48.353.395.454,162.500.000,48.515.895.454,,,48353395454.0,162500000.0,48515895454.0
Tăng do hợp nhất kinh doanhdưới sự kiểm soát chung,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanhdưới sự kiểm soát chung,Tăng do hợp nhất kinh doanhdưới sự kiểm soát chung,422.846.887.321,,28.940.776.000,76.348.182,451.864.011.503,422846887321.0,,28940776000.0,76348182.0,451864011503.0
Đầu tư xây dựng cơ bản hoanthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoanthành,Đầu tư xây dựng cơ bản hoanthành,22.355.346.078,,-,-,22.355.346.078,22355346078.0,,,,22355346078.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,445.202.233.399,,77.294.171.454,238.848.182,522.735.253.035,445202233399.0,,77294171454.0,238848182.0,522735253035.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,,,19.064.814.239,148.958.315,19.213.772.554,,,19064814239.0,148958315.0,19213772554.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,2.811.961.823,,5.318.964.432,17.783.251,8.148.709.506,2811961823.0,,5318964432.0,17783251.0,8148709506.0
Tăng do hợp nhất kinh doanhdưới sự kiểm soát chung,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanhdưới sự kiểm soát chung,Tăng do hợp nhất kinh doanhdưới sự kiểm soát chung,1.006.778.303,,5.925.482.465,63.968.610,6.996.229.378,1006778303.0,,5925482465.0,63968610.0,6996229378.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.818.740.126,,30.309.261.136,230.710.176,34.358.711.438,3818740126.0,,30309261136.0,230710176.0,34358711438.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,,-,29.288.581.215,13.541.685,29.302.122.900,,,29288581215.0,13541685.0,29302122900.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,441.383.493.273,,46.984.910.318,8.138.006,488.376.541.597,441383493273.0,,46984910318.0,8138006.0,488376541597.0
