row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,168.621.426.430,168.621.426.430,-,-,168621426430.0,168621426430.0,,
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,107.381.844.161,107.381.844.161,123.377.519.660,123.377.519.660,107381844161.0,107381844161.0,123377519660.0,123377519660.0
Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,36.040.893.073,36.040.893.073,64.489.090.903,64.489.090.903,36040893073.0,36040893073.0,64489090903.0,64489090903.0
Công ty Cổ phần Vimeco,Công ty Cổ phần Vimeco,Công ty Cổ phần Vimeco,35.779.926.000,35.779.926.000,35.779.926.000,35.779.926.000,35779926000.0,35779926000.0,35779926000.0,35779926000.0
Công ty Cổ phần Kinh doanh nhà Sunshine,Công ty Cổ phần Kinh doanh nhà Sunshine,Công ty Cổ phần Kinh doanh nhà Sunshine,16.286.478.568,16.286.478.568,21.114.700.958,21.114.700.958,16286478568.0,16286478568.0,21114700958.0,21114700958.0
Công ty Cổ phần Phú Thành,Công ty Cổ phần Phú Thành,Công ty Cổ phần Phú Thành,8.254.118.978,8.254.118.978,5.340.818.345,5.340.818.345,8254118978.0,8254118978.0,5340818345.0,5340818345.0
Công ty Cổ phần Đầu tư Thương mại Sunshine Tech,Công ty Cổ phần Đầu tư Thương mại Sunshine Tech,Công ty Cổ phần Đầu tư Thương mại Sunshine Tech,17.053.181.659,17.053.181.659,-,-,17053181659.0,17053181659.0,,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,8.438.025.464,8.438.025.464,11.207.444.844,11.207.444.844,8438025464.0,8438025464.0,11207444844.0,11207444844.0
Công ty Cổ phần Tư vấn Đầu tư Phát triển Xây dựng và Thiết bị Phòng cháy chữa cháy,Công ty Cổ phần Tư vấn Đầu tư Phát triển Xây dựng và Thiết bị Phòng cháy chữa cháy,Công ty Cổ phần Tư vấn Đầu tư Phát triển Xây dựng và Thiết bị Phòng cháy chữa cháy,4.321.180.490,4.321.180.490,4.454.591.539,4.454.591.539,4321180490.0,4321180490.0,4454591539.0,4454591539.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,35.143.965.499,35.143.965.499,24.886.517.178,24.886.517.178,35143965499.0,35143965499.0,24886517178.0,24886517178.0
,,,437.321.040.322,437.321.040.322,290.650.609.427,290.650.609.427,437321040322.0,437321040322.0,290650609427.0,290650609427.0
Trong đó: Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 36),Trong đó: Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 36),Trong đó: Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 36),335.881.377.969,335.881.377.969,165.251.743.259,165.251.743.259,335881377969.0,335881377969.0,165251743259.0,165251743259.0
