row_label_raw,row_label_full,"Nhà cửa, vật kiến trúc",35,numeric__35
"Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",10,10.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 5,
