row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),4.558.135.833.945,12.649.948.769.278,(12.776.398.704.561),4.431.685.898.662,4558135833945.0,12649948769278.0,-12776398704561.0,4431685898662.0
Vay dài hạn đến hạn trả(Thuyết minh số 22.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 22.2),Vay dài hạn đến hạn trả(Thuyết minh số 22.2),254.173.162.518,195.175.467.046,(260.868.629.564),188.480.000.000,254173162518.0,195175467046.0,-260868629564.0,188480000000.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 22.3),Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 22.3),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 22.3),116.153.265.331,103.052.290.908,(129.153.705.186),90.051.851.053,116153265331.0,103052290908.0,-129153705186.0,90051851053.0
Vay ngắn hạn bên liên quan(Thuyết minh số 32),Vay ngắn hạn > Vay ngắn hạn bên liên quan(Thuyết minh số 32),Vay ngắn hạn bên liên quan(Thuyết minh số 32),-,60.000.000.000,-,60.000.000.000,,60000000000.0,,60000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.928.462.261.794,13.008.176.527.232,(13.166.421.039.311),4.770.217.749.715,4928462261794.0,13008176527232.0,-13166421039311.0,4770217749715.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng(Thuyết minh số 22.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 22.2),Vay ngân hàng(Thuyết minh số 22.2),571.099.677.046,566.322.069.399,(197.250.467.046),940.171.279.399,571099677046.0,566322069399.0,-197250467046.0,940171279399.0
Nợ thuê tài chính(Thuyết minh số 22.3),Vay dài hạn > Nợ thuê tài chính(Thuyết minh số 22.3),Nợ thuê tài chính(Thuyết minh số 22.3),193.197.184.351,89.411.062.678,(116.338.072.104),166.270.174.925,193197184351.0,89411062678.0,-116338072104.0,166270174925.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,764.296.861.397,655.733.132.077,(313.588.539.150),1.106.441.454.324,764296861397.0,655733132077.0,-313588539150.0,1106441454324.0
