row_label_raw,row_label_full,Trong đó,Trong đó_1,numeric__Trong đó_1
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,188.480.000.000,188480000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,940.171.279.399,940171279399.0
