row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,659.845.246.333,4.160.151.552,664.005.397.885,659845246333.0,4160151552.0,664005397885.0
- Thuê thêm trong năm,Nguyên giá: > - Thuê thêm trong năm,- Thuê thêm trong năm,64.709.494.312,-,64.709.494.312,64709494312.0,,64709494312.0
- Phân loại sang TSCĐ hữu hình(Thuyết minh số 11),Nguyên giá: > - Phân loại sang TSCĐ hữu hình(Thuyết minh số 11),- Phân loại sang TSCĐ hữu hình(Thuyết minh số 11),(291.839.845.108),(894.318.366),(292.734.163.474),-291839845108.0,-894318366.0,-292734163474.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,432.714.895.537,3.265.833.186,435.980.728.723,432714895537.0,3265833186.0,435980728723.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,190.908.622.651,1.545.493.096,192.454.115.747,190908622651.0,1545493096.0,192454115747.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,87.921.323.245,928.942.104,88.850.265.349,87921323245.0,928942104.0,88850265349.0
- Phân loại sang TSCĐ hữu hình(Thuyết minh số 11),Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình(Thuyết minh số 11),- Phân loại sang TSCĐ hữu hình(Thuyết minh số 11),(157.879.649.776),(506.417.297),(158.386.067.073),-157879649776.0,-506417297.0,-158386067073.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,120.950.296.120,1.968.017.903,122.918.314.023,120950296120.0,1968017903.0,122918314023.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,468.936.623.682,2.614.658.456,471.551.282.138,468936623682.0,2614658456.0,471551282138.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,311.764.599.417,1.297.815.283,313.062.414.700,311764599417.0,1297815283.0,313062414700.0
