row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi số (*) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi số (*) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi số (*) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi số (*) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,123.605.439.259,106.130.417.629,123605439259.0,106130417629.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,123.605.439.259,106.130.417.629,123605439259.0,106130417629.0
