row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,Trang thiết bị văn phòng,Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Trang thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.437.639.386.279,2.942.420.933.849,384.378.563.269,51.410.166.729,7.815.849.050.126,4437639386279.0,2942420933849.0,384378563269.0,51410166729.0,7815849050126.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,4.268.609.013,54.700.359.368,43.249.994.863,2.617.957.618,104.836.920.862,4268609013.0,54700359368.0,43249994863.0,2617957618.0,104836920862.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,75.424.307.272,35.057.844.760,-,-,110.482.152.032,75424307272.0,35057844760.0,,,110482152032.0
- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 12),Nguyên giá: > - Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 12),- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 12),-,291.839.845.108,894.318.366,-,292.734.163.474,,291839845108.0,894318366.0,,292734163474.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(128.888.908.276),(4.164.028.477),(582.596.228),(133.635.532.981),,-128888908276.0,-4164028477.0,-582596228.0,-133635532981.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.517.332.302.564,3.195.130.074.809,424.358.848.021,53.445.528.119,8.190.266.753.513,4517332302564.0,3195130074809.0,424358848021.0,53445528119.0,8190266753513.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,158.608.200.281,396.073.674.423,123.641.966.144,38.052.323.209,716.376.164.057,158608200281.0,396073674423.0,123641966144.0,38052323209.0,716376164057.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,1.615.023.702.607,1.601.017.267.736,246.621.433.297,34.965.477.559,3.497.627.881.199,1615023702607.0,1601017267736.0,246621433297.0,34965477559.0,3497627881199.0
- Khẩu hao trong năm,Giá trị khấu hao lũy kế: > - Khẩu hao trong năm,- Khẩu hao trong năm,258.842.991.316,258.776.045.562,37.173.680.793,4.652.909.892,559.445.627.563,258842991316.0,258776045562.0,37173680793.0,4652909892.0,559445627563.0
- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 12),Giá trị khấu hao lũy kế: > - Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 12),- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 12),-,157.879.649.776,506.417.297,-,158.386.067.073,,157879649776.0,506417297.0,,158386067073.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(69.468.502.360),(4.164.028.477),(582.596.228),(74.215.127.065),,-69468502360.0,-4164028477.0,-582596228.0,-74215127065.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.873.866.693.923,1.948.204.460.714,280.137.502.910,39.035.791.223,4.141.244.448.770,1873866693923.0,1948204460714.0,280137502910.0,39035791223.0,4141244448770.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.822.615.683.672,1.341.403.666.113,137.757.129.972,16.444.689.170,4.318.221.168.927,2822615683672.0,1341403666113.0,137757129972.0,16444689170.0,4318221168927.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.643.465.608.641,1.246.925.614.095,144.221.345.111,14.409.736.896,4.049.022.304.743,2643465608641.0,1246925614095.0,144221345111.0,14409736896.0,4049022304743.0
Trong đó:Tải sản sử dụng để thế chấp (*),Giá trị còn lại: > Trong đó:Tải sản sử dụng để thế chấp (*),Trong đó:Tải sản sử dụng để thế chấp (*),727.372.327.273,535.405.716.230,13.358.941.487,712.673.271,1.276.849.658.261,727372327273.0,535405716230.0,13358941487.0,712673271.0,1276849658261.0
