row_label_raw,row_label_full,Bà Đình Thị Minh Thuận,Phụ trách ban,numeric__Phụ trách ban
Bà Nguyễn Thị Thu Hường,Bà Nguyễn Thị Thu Hường,Bà Nguyễn Thị Thu Hường,Thành viên,
Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Thành viên,
