row_label_raw,row_label_full,col_0,Công ty Cổ phầnTranseco,Công ty Cổ phầnChế biến thựcphẩm Dabaco,Đơn vị tính: VND,numeric__Công ty Cổ phầnTranseco,numeric__Công ty Cổ phầnChế biến thựcphẩm Dabaco,numeric__Đơn vị tính: VND
,,,Công ty Cổ phầnTranseco,Công ty Cổ phầnChế biến thựcphẩm Dabaco,Tổng cộng,,,
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,20.000.000.000,114.000.000.000,134.000.000.000,20000000000.0,114000000000.0,134000000000.0
- Tăng trong năm,Giá trị đầu tư: > - Tăng trong năm,- Tăng trong năm,20.000.000.000,-,20.000.000.000,20000000000.0,,20000000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,40.000.000.000,114.000.000.000,154.000.000.000,40000000000.0,114000000000.0,154000000000.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,11.755.102.961,(39.624.685.332),(27.869.582.371),11755102961.0,-39624685332.0,-27869582371.0
- Phần lợi nhuận/(lỗ)trong năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Phần lợi nhuận/(lỗ)trong năm,- Phần lợi nhuận/(lỗ)trong năm,6.452.973.998,(6.977.952.368),(524.978.370),6452973998.0,-6977952368.0,-524978370.0
- Cổ tức được chia,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Cổ tức được chia,- Cổ tức được chia,(2.000.000.000),-,(2.000.000.000),-2000000000.0,,-2000000000.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,16.208.076.959,(46.602.637.700),(30.394.560.741),16208076959.0,-46602637700.0,-30394560741.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,31.755.102.961,74.375.314.668,106.130.417.629,31755102961.0,74375314668.0,106130417629.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,56.208.076.959,67.397.362.300,123.605.439.259,56208076959.0,67397362300.0,123605439259.0
