row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,Kinh doanh con giống và chế biến thực phẩm,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,numeric__Kinh doanh con giống và chế biến thực phẩm,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,6.450.801.253.525,41.870.489.097,8.404.998.711.852,-,14.897.670.454.474,6450801253525.0,41870489097.0,8404998711852.0,,14897670454474.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,6.449.930.486.698,96.113.570.227,1.852.558.238.486,(8.398.602.295.411),-,6449930486698.0,96113570227.0,1852558238486.0,-8398602295411.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,12.900.731.740.223,137.984.059.324,10.257.556.950.338,(8.398.602.295.411),14.897.670.454.474,12900731740223.0,137984059324.0,10257556950338.0,-8398602295411.0,14897670454474.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,975.198.352.049,14.985.965.193,1.095.307.512.822,(462.018.265.190),1.623.473.564.874,975198352049.0,14985965193.0,1095307512822.0,-462018265190.0,1623473564874.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,(123.385.084.269),,,,,-123385084269.0
Thu nhập thuế hoãn lại,Kết quả > Thu nhập thuế hoãn lại,Thu nhập thuế hoãn lại,,,,,6.679.518.021,,,,,6679518021.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,1.506.767.998.626,,,,,1506767998626.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Chi phí hình thành tài sản cố định,Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,298.056.795.157,17.357.270.196,558.009.601.676,-,873.423.667.029,298056795157.0,17357270196.0,558009601676.0,,873423667029.0
Khấu hao,Các thông tin bộ phận khác > Khấu hao,Khấu hao,223.891.399.918,13.038.265.030,419.160.216.635,-,656.089.881.583,223891399918.0,13038265030.0,419160216635.0,,656089881583.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,15.976.734.904.060,,,,,15976734904060.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,10.196.273.805.801,1.910.862.001.159,8.359.592.845.680,(6.924.116.993.111),13.542.611.659.529,10196273805801.0,1910862001159.0,8359592845680.0,-6924116993111.0,13542611659529.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,,2.434.123.244.531,,,,,2434123244531.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,7.907.672.405.533,,,,,7907672405533.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,7.033.258.364.615,850.353.442.163,7.401.779.755.685,(7.489.266.871.990),7.796.124.690.473,7033258364615.0,850353442163.0,7401779755685.0,-7489266871990.0,7796124690473.0
Nợ phải trả không phân bổ (**),Tài sản và nợ phải trả > Nợ phải trả không phân bổ (**),Nợ phải trả không phân bổ (**),,,,,111.547.715.060,,,,,111547715060.0
