row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nước ngoài,Phải trả nhà cung cấp nước ngoài,Phải trả nhà cung cấp nước ngoài,150.692.230.238,40.942.486.405,150692230238.0,40942486405.0
- Hong Kong JF Agriculture Company Limited,- Hong Kong JF Agriculture Company Limited,- Hong Kong JF Agriculture Company Limited,42.448.506.100,-,42448506100.0,
- Bunge S.A.,- Bunge S.A.,- Bunge S.A.,30.633.588.375,-,30633588375.0,
- Desmet Ballestra Singapore,- Desmet Ballestra Singapore,- Desmet Ballestra Singapore,32.938.472.863,30.603.338.366,32938472863.0,30603338366.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,44.671.662.900,10.339.148.039,44671662900.0,10339148039.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,703.018.629.884,706.998.390.071,703018629884.0,706998390071.0
- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,38.640.394.631,35.414.750.250,38640394631.0,35414750250.0
- Công ty TNHH Natural Feed,- Công ty TNHH Natural Feed,- Công ty TNHH Natural Feed,31.772.927.460,-,31772927460.0,
- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,632.605.307.793,671.583.639.821,632605307793.0,671583639821.0
Phải trả các bên liên quan(Thuyết minh số 32),Phải trả các bên liên quan(Thuyết minh số 32),Phải trả các bên liên quan(Thuyết minh số 32),18.416.141.983,14.706.614.462,18416141983.0,14706614462.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,872.127.002.105,762.647.490.938,872127002105.0,762647490938.0
