row_label_raw,row_label_full,Bên liên quan > Phải thu khác (Thuyết minh số 8.1),Mối quan hệ > Phải thu khác (Thuyết minh số 8.1),Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 8.1),Số cuối năm > Phải thu khác (Thuyết minh số 8.1),Đơn vị tính: VND > Phải thu khác (Thuyết minh số 8.1),numeric__Mối quan hệ > Phải thu khác (Thuyết minh số 8.1),numeric__Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 8.1),numeric__Số cuối năm > Phải thu khác (Thuyết minh số 8.1),numeric__Đơn vị tính: VND > Phải thu khác (Thuyết minh số 8.1)
Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp trong công ty liên kết,Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp trong công ty liên kết,Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp trong công ty liên kết,Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp trong công ty liên kết,Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp trong công ty liên kết,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
,,,,,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),,,,
Công ty Cổ phần Transeco,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,Trả trước mua dịch vụ,4.118.400.872,-,,,4118400872.0,
,,,,,4.118.400.872,-,,,4118400872.0,
Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),,,,
Công ty Cổ phần Transeco,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,Mua dịch vụ,18.416.141.983,14.304.537.210,,,18416141983.0,14304537210.0
Công ty Cổ phần Chế biến thực phẩm Dabaco,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty Cổ phần Chế biến thực phẩm Dabaco,Công ty Cổ phần Chế biến thực phẩm Dabaco,Công ty liên kết,Mua hàng hóa,-,402.077.252,,,,402077252.0
,,,,,18.416.141.983,14.706.614.462,,,18416141983.0,14706614462.0
Vay ngắn hạn (Thuyết minh số 22),Vay ngắn hạn (Thuyết minh số 22),Vay ngắn hạn (Thuyết minh số 22),Vay ngắn hạn (Thuyết minh số 22),Vay ngắn hạn (Thuyết minh số 22),Vay ngắn hạn (Thuyết minh số 22),Vay ngắn hạn (Thuyết minh số 22),,,,
Công ty Cổ phần Transeco,Vay ngắn hạn (Thuyết minh số 22) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,Vay ngắn hạn (*),60.000.000.000,-,,,60000000000.0,
,,,,,60.000.000.000,-,,,60000000000.0,
