row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,4.827.170.177,168.685.571.853,(169.618.898.108),3.893.843.922,4827170177.0,168685571853.0,-169618898108.0,3893843922.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,95.053.280.113,123.385.084.269,(110.865.789.735),107.572.574.647,95053280113.0,123385084269.0,-110865789735.0,107572574647.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,4.926.957.041,(4.926.957.041),-,,4926957041.0,-4926957041.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,370.457.758,21.811.743.415,(22.100.904.682),81.296.491,370457758.0,21811743415.0,-22100904682.0,81296491.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,100.250.908.048,318.809.356.578,(307.512.549.566),111.547.715.060,100250908048.0,318809356578.0,-307512549566.0,111547715060.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,46.975.126.322,113.912.167.009,(101.673.474.183),59.213.819.148,46975126322.0,113912167009.0,-101673474183.0,59213819148.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,4.213.718.248,95.805.312,(459.166.993),3.850.356.567,4213718248.0,95805312.0,-459166993.0,3850356567.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,51.188.844.570,114.007.972.321,(102.132.641.176),63.064.175.715,51188844570.0,114007972321.0,-102132641176.0,63064175715.0
