row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 2.420.018.590.000 > -,Thăng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 1.799.871.477.604 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 27.911.797.621 > 769.083.752.455,Lợi ích cổ đông không kiểm soát > Năm trước: > -,Đơn vị tính: VND Tổng cộng > Năm trước: > 4.666.234.857.446 > 769.083.752.455,numeric__Vốn cổ phần đã phát hành > Năm trước: > 2.420.018.590.000 > -,numeric__Thăng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 1.799.871.477.604 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 27.911.797.621 > 769.083.752.455,numeric__Lợi ích cổ đông không kiểm soát > Năm trước: > -,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 4.666.234.857.446 > 769.083.752.455
- Tăng vốn,- Tăng vốn,- Tăng vốn,806.672.860.000,403.336.430.000,-,-,-,1.210.009.290.000,806672860000.0,403336430000.0,,,,1210009290000.0
- Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,- Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,- Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,120.000.000.000,-,-,-,-,120.000.000.000,120000000000.0,,,,,120000000000.0
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,25.007.194.215,(25.007.194.215),-,-,,,25007194215.0,-25007194215.0,,
- Giảm khác,- Giảm khác,- Giảm khác,-,(248.200.000),-,-,-,(248.200.000),,-248200000.0,,,,-248200000.0
- Góp vốn của cổ đông không kiểm soát,- Góp vốn của cổ đông không kiểm soát,- Góp vốn của cổ đông không kiểm soát,-,-,-,-,1.000.000.000,1.000.000.000,,,,,1000000000.0,1000000000.0
Số cuối năm,Số cuối năm,Số cuối năm,3.346.691.450.000,821.521.222.221,1.824.878.671.819,771.988.355.861,1.000.000.000,6.766.079.699.901,3346691450000.0,821521222221.0,1824878671819.0,771988355861.0,1000000000.0,6766079699901.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,3.346.691.450.000,821.521.222.221,1.824.878.671.819,771.988.355.861,1.000.000.000,6.766.079.699.901,3346691450000.0,821521222221.0,1824878671819.0,771988355861.0,1000000000.0,6766079699901.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.506.767.998.626,-,1.506.767.998.626,,,,1506767998626.0,,1506767998626.0
- Tăng vốn (*),Năm nay: > - Tăng vốn (*),- Tăng vốn (*),501.975.220.000,-,-,(501.975.220.000),-,-,501975220000.0,,,-501975220000.0,,
"- Trích lập quỹ khen thưởng, phúc lợi (**)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (**)","- Trích lập quỹ khen thưởng, phúc lợi (**)",-,-,-,(200.000.000.000),-,(200.000.000.000),,,,-200000000000.0,,-200000000000.0
- Trích lập quỹ đầu tư phát triển (**),Năm nay: > - Trích lập quỹ đầu tư phát triển (**),- Trích lập quỹ đầu tư phát triển (**),-,-,63.245.042.455,(63.245.042.455),-,-,,,63245042455.0,-63245042455.0,,
"- Thủ lao HĐQT, Ban Kiểm soát (**)","Năm nay: > - Thủ lao HĐQT, Ban Kiểm soát (**)","- Thủ lao HĐQT, Ban Kiểm soát (**)",-,-,-,(3.835.000.000),-,(3.835.000.000),,,,-3835000000.0,,-3835000000.0
- Mua công ty con mới,Năm nay: > - Mua công ty con mới,- Mua công ty con mới,-,-,-,-,49.800.000,49.800.000,,,,,49800000.0,49800000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.848.666.670.000,821.521.222.221,1.888.123.714.274,1.509.701.092.032,1.049.800.000,8.069.062.498.527,3848666670000.0,821521222221.0,1888123714274.0,1509701092032.0,1049800000.0,8069062498527.0
