row_label_raw,row_label_full,Công ty Cổ phần Nội thất Không Gian Vàng,2.571.372,2.571.372_1,numeric__2.571.372,numeric__2.571.372_1
Công ty TNHH Sản xuất Thương Mại,Công ty TNHH Sản xuất Thương Mại,Công ty TNHH Sản xuất Thương Mại,,,,
Không Gian Vàng,Công ty TNHH Sản xuất Thương Mại > Không Gian Vàng,Không Gian Vàng,-,2.031.772.749,,2031772749.0
Công ty Cổ phần Sản xuất Thương mại,Công ty Cổ phần Sản xuất Thương mại,Công ty Cổ phần Sản xuất Thương mại,,,,
Dịch vụ Ngôi nhà Sài Gòn,Công ty Cổ phần Sản xuất Thương mại > Dịch vụ Ngôi nhà Sài Gòn,Dịch vụ Ngôi nhà Sài Gòn,-,25.492.500,,25492500.0
,,,2.571.372,2.059.836.621,2571372.0,2059836621.0
