row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,557.818.230.168,150.253.674.385,708.071.904.553,557818230168.0,150253674385.0,708071904553.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,70.290.000,70.290.000,,70290000.0,70290000.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,557.818.230.168,150.323.964.385,708.142.194.553,557818230168.0,150323964385.0,708142194553.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2024,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,-,81.730.553.494,81.730.553.494,,81730553494.0,81730553494.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,17.723.070.462,17.723.070.462,,17723070462.0,17723070462.0
Tại ngày 31 tháng 12 năm 2024,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,-,99.453.623.956,99.453.623.956,,99453623956.0,99453623956.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,557.818.230.168,68.523.120.891,626.341.351.059,557818230168.0,68523120891.0,626341351059.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,557.818.230.168,50.870.340.429,608.688.570.597,557818230168.0,50870340429.0,608688570597.0
