row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị quản lý VND,Tài sản khác VND,Tổng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị quản lý VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.836.562.373.407,7.137.337.652.512,237.371.936.459,123.648.352.233,8.916.045.712,9.343.836.360.323,1836562373407.0,7137337652512.0,237371936459.0,123648352233.0,8916045712.0,9343836360323.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.798.976.084,37.398.384.532,8.024.727.273,19.050.206.484,-,69.272.294.373,4798976084.0,37398384532.0,8024727273.0,19050206484.0,,69272294373.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,12.305.526.913,91.517.278.336,5.007.459.793,805.197.814,224.990.962,109.860.453.818,12305526913.0,91517278336.0,5007459793.0,805197814.0,224990962.0,109860453818.0
Chuyển từ bất động sản đầu tư (Thuyết minh 15(a)),Nguyên giá > Chuyển từ bất động sản đầu tư (Thuyết minh 15(a)),Chuyển từ bất động sản đầu tư (Thuyết minh 15(a)),12.281.430.823,-,-,-,-,12.281.430.823,12281430823.0,,,,,12281430823.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(29.113.288.710),(5.368.808.890),(2.576.875.250),-,(37.058.972.850),,-29113288710.0,-5368808890.0,-2576875250.0,,-37058972850.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(741.641.296),-,-,-,-,(741.641.296),-741641296.0,,,,,-741641296.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.865.206.665.931,7.237.140.026.670,245.035.314.635,140.926.881.281,9.141.036.674,9.497.449.925.191,1865206665931.0,7237140026670.0,245035314635.0,140926881281.0,9141036674.0,9497449925191.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,778.802.224.831,4.266.764.828.920,159.984.670.887,89.832.511.809,3.704.761.676,5.299.088.998.123,778802224831.0,4266764828920.0,159984670887.0,89832511809.0,3704761676.0,5299088998123.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,102.339.917.493,481.031.697.305,20.933.822.622,13.637.740.741,1.288.078.953,619.231.257.114,102339917493.0,481031697305.0,20933822622.0,13637740741.0,1288078953.0,619231257114.0
Chuyển từ bất động sản đầu tư (Thuyết minh 15(a)),Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư (Thuyết minh 15(a)),Chuyển từ bất động sản đầu tư (Thuyết minh 15(a)),358.208.399,-,-,-,-,358.208.399,358208399.0,,,,,358208399.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(28.458.819.203),(5.202.828.774),(2.300.637.094),-,(35.962.285.071),,-28458819203.0,-5202828774.0,-2300637094.0,,-35962285071.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(117.138.428),-,-,-,-,(117.138.428),-117138428.0,,,,,-117138428.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,881.383.212.295,4.719.337.707.022,175.715.664.735,101.169.615.456,4.992.840.629,5.882.599.040.137,881383212295.0,4719337707022.0,175715664735.0,101169615456.0,4992840629.0,5882599040137.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.057.760.148.576,2.870.572.823.592,77.387.265.572,33.815.840.424,5.211.284.036,4.044.747.362.200,1057760148576.0,2870572823592.0,77387265572.0,33815840424.0,5211284036.0,4044747362200.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,983.823.453.636,2.517.802.319.648,69.319.649.900,39.757.265.825,4.148.196.045,3.614.850.885.054,983823453636.0,2517802319648.0,69319649900.0,39757265825.0,4148196045.0,3614850885054.0
