row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,6.412.811.860.000,3.208.666.226,(23.450.000.000),17.006.600.079,1.118.398.295.310,6.040.737.039,3.713.726.741.137,11.247.742.899.791,1.048.154.471.881,12.295.897.371.672,6412811860000.0,3208666226.0,-23450000000.0,17006600079.0,1118398295310.0,6040737039.0,3713726741137.0,11247742899791.0,1048154471881.0,12295897371672.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,4.711.485.204.581,4.711.485.204.581,237.114.047.283,4.948.599.251.864,,,,,,,4711485204581.0,4711485204581.0,237114047283.0,4948599251864.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,-,-,(277.761.723.609),(277.761.723.609),(39.255.789.729),(317.017.513.338),,,,,,,-277761723609.0,-277761723609.0,-39255789729.0,-317017513338.0
Trích bổ sung quỹ khen thưởng phúc lợi (Thuyết minh 24),Trích bổ sung quỹ khen thưởng phúc lợi (Thuyết minh 24),Trích bổ sung quỹ khen thưởng phúc lợi (Thuyết minh 24),-,-,-,-,-,-,(72.078.210.228),(72.078.210.228),(4.705.813.968),(76.784.024.196),,,,,,,-72078210228.0,-72078210228.0,-4705813968.0,-76784024196.0
Trích các quỹ khác thuộc vốn chủ sở hữu,Trích các quỹ khác thuộc vốn chủ sở hữu,Trích các quỹ khác thuộc vốn chủ sở hữu,-,-,-,-,565.187.330,687.800.000,(1.252.987.330),-,-,-,,,,,565187330.0,687800000.0,-1252987330.0,,,
Cổ tức (Thuyết minh 28),Cổ tức (Thuyết minh 28),Cổ tức (Thuyết minh 28),-,-,-,-,-,-,(2.244.484.151.000),(2.244.484.151.000),(239.876.818.585),(2.484.360.969.585),,,,,,,-2244484151000.0,-2244484151000.0,-239876818585.0,-2484360969585.0
Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,-,23.450.000.000,-,-,-,-,23.450.000.000,-,23.450.000.000,,,23450000000.0,,,,,23450000000.0,,23450000000.0
Chênh lệch tỷ giá hối doái,Chênh lệch tỷ giá hối doái,Chênh lệch tỷ giá hối doái,-,-,-,2.107.171.896,-,-,-,2.107.171.896,-,2.107.171.896,,,,2107171896.0,,,,2107171896.0,,2107171896.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,-,-,(47.311.058.568),(47.311.058.568),-,(47.311.058.568),,,,,,,-47311058568.0,-47311058568.0,,-47311058568.0
Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,-,-,-,-,-,-,(10.892.000.000),(10.892.000.000),-,(10.892.000.000),,,,,,,-10892000000.0,-10892000000.0,,-10892000000.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,(1.401.424.375),52.472.083.591,51.070.659.216,34.987.070.710,86.057.729.926,,,,,,-1401424375.0,52472083591.0,51070659216.0,34987070710.0,86057729926.0
Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,-,-,-,-,-,-,-,-,743.075.277,743.075.277,,,,,,,,,743075277.0,743075277.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,6.412.811.860.000,3.208.666.226,-,19.113.771.975,1.118.963.482.640,5.327.112.664,5.823.903.898.574,13.383.328.792.079,1.037.160.242.869,14.420.489.034.948,6412811860000.0,3208666226.0,,19113771975.0,1118963482640.0,5327112664.0,5823903898574.0,13383328792079.0,1037160242869.0,14420489034948.0
