row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,31/12/2018,31/12/2018_1,1/1/2018,1/1/2018_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__31/12/2018,numeric__31/12/2018_1,numeric__1/1/2018,numeric__1/1/2018_1
STT,STT,STT,Tên công ty,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,
I,I,I,Công ty con,,,,,,,,,,,
1,I > 1,1,Công ty Cổ phần Bia Sài Gôn – Miền Tây,Sản xuất và kinh doanh bia,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
2,I > 2,2,Công ty Cổ phần Nước Giải Khát Chương Dương,"Sản xuất, kinh doanh nước giải khát, đồ hộp và phụ liệu","62,06%","62,06%","62,06%","62,06%",,,0.6206,0.6206,0.6206,0.6206
3,I > 3,3,Công ty Cổ phần Bia Sài Gôn – Quảng Ngãi,Sản xuất và kinh doanh bia,"66,56%","66,56%","66,56%","66,56%",,,0.6656,0.6656,0.6656,0.6656
4,I > 4,4,Công ty Cổ phần Rượu Bình Tây,Sản xuất và kinh doanh rượu,"93,32%","93,47%","93,32%","93,47%",,,0.9331999999999999,0.9347,0.9331999999999999,0.9347
5,I > 5,5,"Công ty Cổ phần Bia, Rượu Sài Gòn – Đồng Xuân",Sản xuất và kinh doanh bia và nước giải khát có ga,"55,90%","56,24%","55,90%","56,24%",,,0.5589999999999999,0.5624,0.5589999999999999,0.5624
6,I > 6,6,Công ty Cổ phần Bia Sài Gôn – Nghệ Tĩnh,"Sản xuất và kinh doanh bia, cồn, rượu và nước giải khát","54,73%","54,73%","54,73%","54,73%",,,0.5473,0.5473,0.5473,0.5473
7,I > 7,7,Công ty Cổ phần Bia Sài Gôn – Sông Lam,Sản xuất và kinh doanh bia và nước giải khát; xuất nhập khẩu các nguyên vật liệu liên quan,"68,78%","68,78%","68,78%","68,78%",,,0.6878,0.6878,0.6878,0.6878
8,I > 8,8,Công ty Cổ phần Bia Sài Gôn – Hà Nội,Sản xuất và kinh doanh bia và nước giải khát; xuất nhập khẩu các nguyên vật liệu liên quan,"52,11%","52,11%","52,11%","52,11%",,,0.5211,0.5211,0.5211,0.5211
9,I > 9,9,Công ty TNHH Một Thành Viên Thương mại Bia Sài Gôn,"Kinh doanh bia, rượu và nước giải khát",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
10,I > 10,10,Công ty Cổ phần Thương mại Bia Sài Gôn Miền Bắc,"Kinh doanh bia, rượu và nước giải khát; cung cấp dịch vụ vận chuyển hàng hóa và cho thuê kho bãi","94,72%","94,72%","94,72%","94,72%",,,0.9472,0.9472,0.9472,0.9472
11,I > 11,11,Công ty Cổ phần Thương mại Bia Sài Gôn Bắc Trung Bộ,"Kinh doanh bia, rượu và nước giải khát; cung cấp dịch vụ vận chuyển hàng hóa và cho thuê kho bãi","95,07%","95,07%","94,92%","94,92%",,,0.9506999999999999,0.9506999999999999,0.9492,0.9492
12,I > 12,12,Công ty Cổ phần Thương mại Bia Sài Gôn Trung tâm,"Bán buôn bia, đồ uống có cồn; bán buôn đồ uống không có cồn; bán buôn hóa chất khác, cồn; mua bán bao bì; kinh doanh vận tải hàng hóa bằng ô tô","94,41%","94,41%","94,21%","94,21%",,,0.9440999999999999,0.9440999999999999,0.9420999999999999,0.9420999999999999
13,I > 13,13,Công ty Cổ phần Thương mại Bia Sài Gôn Miền Trung,"Kinh doanh bia, rượu và nước giải khát; kinh doanh kho bãi và kinh doanh dịch vụ vận tải hàng hóa bằng ô tô","91,24%","91,24%","91,24%","91,24%",,,0.9124,0.9124,0.9124,0.9124
