row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy vi tínhVND,Tài sảnvô hình khácVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sảnvô hình khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.024.215.267.144,63.853.090.585,247.447.482,1.088.315.805.211,1024215267144.0,63853090585.0,247447482.0,1088315805211.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.614.000.000,-,2.614.000.000,,2614000000.0,,2614000000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,467.800.000,-,467.800.000,,467800000.0,,467800000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.024.215.267.144,66.934.890.585,247.447.482,1.091.397.605.211,1024215267144.0,66934890585.0,247447482.0,1091397605211.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,69.890.212.159,54.918.397.770,154.076.810,124.962.686.739,69890212159.0,54918397770.0,154076810.0,124962686739.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.930.669.320,7.223.849.980,40.205.032,14.194.724.332,6930669320.0,7223849980.0,40205032.0,14194724332.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,76.820.881.479,62.142.247.750,194.281.842,139.157.411.071,76820881479.0,62142247750.0,194281842.0,139157411071.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,954.325.054.985,8.934.692.815,93.370.672,963.353.118.472,954325054985.0,8934692815.0,93370672.0,963353118472.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,947.394.385.665,4.792.642.835,53.165.640,952.240.194.140,947394385665.0,4792642835.0,53165640.0,952240194140.0
