row_label_raw,row_label_full,Ban Tổng Giám đốc,Ông Neo Gim Siong Bennett > Ông Nguyễn Thành Nam,Tổng Giám đốc(từ ngày 1 tháng 8 năm 2018) > Tổng Giám đốc(đến ngày 30 tháng 7 năm 2018),numeric__Ông Neo Gim Siong Bennett > Ông Nguyễn Thành Nam,numeric__Tổng Giám đốc(từ ngày 1 tháng 8 năm 2018) > Tổng Giám đốc(đến ngày 30 tháng 7 năm 2018)
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Lâm Du An,Phó Tổng Giám đốcGiám đốc nhà máy Bia Sài Gòn– Nguyễn Chí Thanh,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Teo Hong Keng,Phó Tổng Giám đốc(từ ngày 9 tháng 5 năm 2018),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Hoàng Đạo Hiệp,Phó Tổng Giám đốc(từ ngày 1 tháng 10 năm 2018),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Neo Gim Siong Bennett,Phó Tổng Giám đốc(từ ngày 9 tháng 5 năm 2018đến ngày 31 tháng 7 năm 2018),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Ng Kuan Ngee Melvyn,Phó Tổng Giám đốc(từ ngày 9 tháng 5 năm 2018),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Minh An,Phó Tổng Giám đốc(đến ngày 20 tháng 6 năm 2018),,
