row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,31/12/2018VND,1/1/2018VND,,
"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát",,
Công ty Liên doanh TNHH Crown Sài Gòn,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Liên doanh TNHH Crown Sài Gòn",Công ty Liên doanh TNHH Crown Sài Gòn,217.001.205.735,262.095.508.855,217001205735.0,262095508855.0
Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây",Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,80.479.565.925,56.286.113.565,80479565925.0,56286113565.0
Công ty Cổ phần Bia Sài Gòn – Miền Trung,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn – Miền Trung",Công ty Cổ phần Bia Sài Gòn – Miền Trung,68.770.742.216,32.647.521.270,68770742216.0,32647521270.0
Công ty Cổ phần Bia Sài Gòn – Kiên Giang,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn – Kiên Giang",Công ty Cổ phần Bia Sài Gòn – Kiên Giang,55.072.169.614,31.049.297.290,55072169614.0,31049297290.0
Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn – Khánh Hòa",Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,43.265.809.950,10.606.197.800,43265809950.0,10606197800.0
Công ty Cổ phần Bia Sài Gòn – Vĩnh Long,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn – Vĩnh Long",Công ty Cổ phần Bia Sài Gòn – Vĩnh Long,42.224.298.050,8.908.347.338,42224298050.0,8908347338.0
Công ty Cổ phần Bia Sài Gòn – Bến Tre,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn – Bến Tre",Công ty Cổ phần Bia Sài Gòn – Bến Tre,36.922.865.100,-,36922865100.0,
Công ty Cổ phần Bia Sài Gòn – Phú Thọ,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn – Phú Thọ",Công ty Cổ phần Bia Sài Gòn – Phú Thọ,34.832.174.850,24.891.438.000,34832174850.0,24891438000.0
Công ty TNHH Thủy Tinh Malaya Việt Nam,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty TNHH Thủy Tinh Malaya Việt Nam",Công ty TNHH Thủy Tinh Malaya Việt Nam,34.009.252.977,40.077.461.556,34009252977.0,40077461556.0
Công ty Cổ phần Bia – Nước Giải khát Sài Gòn – Tây Đô,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia – Nước Giải khát Sài Gòn – Tây Đô",Công ty Cổ phần Bia – Nước Giải khát Sài Gòn – Tây Đô,28.504.068.582,26.368.874.356,28504068582.0,26368874356.0
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ",Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,13.248.400.000,21.639.640.000,13248400000.0,21639640000.0
Công ty Cổ phần Bia Sài Gòn – Bạc Liêu,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn – Bạc Liêu",Công ty Cổ phần Bia Sài Gòn – Bạc Liêu,6.121.281.540,18.116.463.860,6121281540.0,18116463860.0
Công ty Cổ phần Kinh doanh Lương thực – Thực phẩm Trường Sa,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Kinh doanh Lương thực – Thực phẩm Trường Sa",Công ty Cổ phần Kinh doanh Lương thực – Thực phẩm Trường Sa,436.148.400,664.446.000,436148400.0,664446000.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Vận Tải và Giao Nhận Bia Sài Gòn,Bên liên quan khác > Công ty Cổ phần Vận Tải và Giao Nhận Bia Sài Gòn,Công ty Cổ phần Vận Tải và Giao Nhận Bia Sài Gòn,23.614.778.582,339.809.965.644,23614778582.0,339809965644.0
