row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,6.412.811.860.000,3.208.666.226,-,19.113.771.975,1.118.963.482.640,5.327.112.664,5.823.903.898.574,13.383.328.792.079,1.037.160.242.869,14.420.489.034.948,6412811860000.0,3208666226.0,,19113771975.0,1118963482640.0,5327112664.0,5823903898574.0,13383328792079.0,1037160242869.0,14420489034948.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,4.177.432.235.379,4.177.432.235.379,225.317.711.045,4.402.749.946.424,,,,,,,4177432235379.0,4177432235379.0,225317711045.0,4402749946424.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,-,-,(207.978.477.582),(207.978.477.582),(23.484.157.266),"(231,462,634,848)",,,,,,,-207978477582.0,-207978477582.0,-23484157266.0,
"Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,-,-,(26.622.909.105),(26.622.909.105),(2.436.386.790),"(29,059,295,895)",,,,,,,-26622909105.0,-26622909105.0,-2436386790.0,
"Trích quỹ đầu tư, phát triển","Trích quỹ đầu tư, phát triển","Trích quỹ đầu tư, phát triển",-,-,-,-,2.380.737.197,-,(2.380.737.197),-,-,-,,,,,2380737197.0,,-2380737197.0,,,
"Trích bổ sung quỹ đầu tư, phát triển","Trích bổ sung quỹ đầu tư, phát triển","Trích bổ sung quỹ đầu tư, phát triển",-,-,-,-,8.712.420.678,-,(8.712.420.678),-,-,-,,,,,8712420678.0,,-8712420678.0,,,
Cổ tức (Thuyết minh 28),Cổ tức (Thuyết minh 28),Cổ tức (Thuyết minh 28),-,-,-,-,-,-,(2.244.484.151.000),(2.244.484.151.000),(169.291.179.518),(2.413.775.330.518),,,,,,,-2244484151000.0,-2244484151000.0,-169291179518.0,-2413775330518.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,1.985.715.679,-,-,-,1.985.715.679,-,1.985.715.679,,,,1985715679.0,,,,1985715679.0,,1985715679.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,-,-,(36.103.560.946),(36.103.560.946),(1.514.477.709),(37.618.038.655),,,,,,,-36103560946.0,-36103560946.0,-1514477709.0,-37618038655.0
Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,-,-,-,-,-,-,(1.321.278.213),(1.321.278.213),-,(1.321.278.213),,,,,,,-1321278213.0,-1321278213.0,,-1321278213.0
Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,-,-,-,-,90.579.927,-,44.982.194,135.562.121,(255.512.874),(119.950.753),,,,,90579927.0,,44982194.0,135562121.0,-255512874.0,-119950753.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,6.412.811.860.000,3.208.666.226,-,21.099.487.654,1.130.147.220.442,5.327.112.664,7.473.777.581.426,15.046.371.928.412,1.065.496.239.757,16.111.868.168.169,6412811860000.0,3208666226.0,,21099487654.0,1130147220442.0,5327112664.0,7473777581426.0,15046371928412.0,1065496239757.0,16111868168169.0
