row_label_raw,row_label_full,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:_1,Đầu tư vào công ty liên kết:_2,numeric__Đầu tư vào công ty liên kết:_1,numeric__Đầu tư vào công ty liên kết:_2
,,,Số cuối năm VND,Số đầu năm VND,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,98.000.000.000,98.000.000.000,98000000000.0,98000000000.0
Phần lợi nhuận phát sinh sau ngày đầu tư trừ cố tức được chia,Phần lợi nhuận phát sinh sau ngày đầu tư trừ cố tức được chia,Phần lợi nhuận phát sinh sau ngày đầu tư trừ cố tức được chia,54.635.656.181,45.184.860.787,54635656181.0,45184860787.0
,,,152.635.656.181,143.184.860.787,152635656181.0,143184860787.0
