row_label_raw,row_label_full,Năm trước,Năm trước_1,Năm trước_2,Năm trước_3,Năm trước_4,Năm trước_5,numeric__Năm trước_1,numeric__Năm trước_2,numeric__Năm trước_3,numeric__Năm trước_4,numeric__Năm trước_5
,,,Dịch vụ vận tải VND,Dịch vụ hàng hải dầu khí VND,Thường mại VND,Dịch vụ khác VND,Tổng VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.284.473.387.710,956.059.400.713,2.255.416.692.956,27.146.460.794,7.523.095.942.173,4284473387710.0,956059400713.0,2255416692956.0,27146460794.0,7523095942173.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,4.284.473.387.710,956.059.400.713,2.255.416.692.956,27.146.460.794,7.523.095.942.173,4284473387710.0,956059400713.0,2255416692956.0,27146460794.0,7523095942173.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,3.537.187.554.073,629.586.727.476,2.251.273.452.775,21.645.497.300,6.439.693.231.624,3537187554073.0,629586727476.0,2251273452775.0,21645497300.0,6439693231624.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,3.537.187.554.073,629.586.727.476,2.251.273.452.775,21.645.497.300,6.439.693.231.624,3537187554073.0,629586727476.0,2251273452775.0,21645497300.0,6439693231624.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,747.285.833.637,326.472.673.237,4.143.240.181,5.500.963.494,1.083.402.710.549,747285833637.0,326472673237.0,4143240181.0,5500963494.0,1083402710549.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(281.258.573.610),,,,,-281258573610.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,802.144.136.939,,,,,802144136939.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,207.761.699.963,,,,,207761699963.0
Phần lãi trong công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,26.387.724.294,,,,,26387724294.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,97.298.179.726,,,,,97298179726.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(158.471.729.580),,,,,-158471729580.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,975.120.011.342,,,,,975120011342.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(206.482.055.036),,,,,-206482055036.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,11.432.774.224,,,,,11432774224.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,780.070.730.530,,,,,780070730530.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,599.526.688.590,,,,,599526688590.0
