row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí lương,Chi phí lương,Chi phí lương,110.452.276.213,138.594.181.634,110452276213.0,138594181634.0
Chi phí khác,Chi phí khác,Chi phí khác,138.898.153.100,132.579.933.532,138898153100.0,132579933532.0
,,,249.350.429.313,271.174.115.166,249350429313.0,271174115166.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,7.331.944.733,3.750.406.545,7331944733.0,3750406545.0
Chi phí khác,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khác,Chi phí khác,6.381.986.605,6.334.051.899,6381986605.0,6334051899.0
,,,13.713.931.338,10.084.458.444,13713931338.0,10084458444.0
