row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,7.363.371.330,13.653.405.359,8.795.221.007.492,14.867.264.842,8.831.105.049.023,7363371330.0,13653405359.0,8795221007492.0,14867264842.0,8831105049023.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,91.800.000,1.923.185.383.537,959.342.500,1.924.236.526.037,,91800000.0,1923185383537.0,959342500.0,1924236526037.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.791.322.274),(45.955.196.332),-,(49.746.518.606),,-3791322274.0,-45955196332.0,,-49746518606.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,(287.937.000),-,(287.937.000),,,-287937000.0,,-287937000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,7.363.371.330,9.953.883.085,10.672.163.257.697,15.826.607.342,10.705.307.119.454,7363371330.0,9953883085.0,10672163257697.0,15826607342.0,10705307119454.0
GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Số dư đầu năm,Số dư đầu năm,(520.831.480),(9.776.944.813),(3.186.318.191.683),(11.858.507.695),(3.208.474.475.671),-520831480.0,-9776944813.0,-3186318191683.0,-11858507695.0,-3208474475671.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Khẩu hao trong năm,Khẩu hao trong năm,(353.018.856),(261.841.568),(745.977.374.459),(1.604.395.169),(748.196.630.052),-353018856.0,-261841568.0,-745977374459.0,-1604395169.0,-748196630052.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LƯỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,3.791.322.274,24.846.690.132,-,28.638.012.406,,3791322274.0,24846690132.0,,28638012406.0
Điều chỉnh khác,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Điều chỉnh khác,Điều chỉnh khác,-,-,287.937.000,-,287.937.000,,,287937000.0,,287937000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Số dư cuối năm,Số dư cuối năm,(873.850.336),(6.247.464.107),(3.907.160.939.010),(13.462.902.864),(3.927.745.156.317),-873850336.0,-6247464107.0,-3907160939010.0,-13462902864.0,-3927745156317.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.489.520.994,3.706.418.978,6.765.002.318.687,2.363.704.478,6.777.561.963.137,6489520994.0,3706418978.0,6765002318687.0,2363704478.0,6777561963137.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.842.539.850,3.876.460.546,5.608.902.815.809,3.008.757.147,5.622.630.573.352,6842539850.0,3876460546.0,5608902815809.0,3008757147.0,5622630573352.0
