row_label_raw,row_label_full,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm nay_4,Năm nay_5,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm nay_4,numeric__Năm nay_5
,,,Dịch vụ vận tải VND,Dịch vụ hàng hài đầu khí VND,Thường mại VND,Dịch vụ khác VND,Tổng VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.751.792.081.742,1.092.214.687.180,1.898.843.830.716,15.518.580.319,7.758.369.179.957,4751792081742.0,1092214687180.0,1898843830716.0,15518580319.0,7758369179957.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,4.751.792.081.742,1.092.214.687.180,1.898.843.830.716,15.518.580.319,7.758.369.179.957,4751792081742.0,1092214687180.0,1898843830716.0,15518580319.0,7758369179957.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,3.909.141.176.804,793.140.734.363,1.857.787.043.125,7.348.704.683,6.567.417.658.975,3909141176804.0,793140734363.0,1857787043125.0,7348704683.0,6567417658975.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,3.909.141.176.804,793.140.734.363,1.857.787.043.125,7.348.704.683,6.567.417.658.975,3909141176804.0,793140734363.0,1857787043125.0,7348704683.0,6567417658975.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,842.650.904.938,299.073.952.817,41.056.787.591,8.169.875.636,1.190.951.520.982,842650904938.0,299073952817.0,41056787591.0,8169875636.0,1190951520982.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(263.064.360.651),,,,,-263064360651.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,927.887.160.331,,,,,927887160331.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,221.013.930.768,,,,,221013930768.0
Phần lãi trong công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,34.035.075.394,,,,,34035075394.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,26.170.756.943,,,,,26170756943.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(192.947.512.930),,,,,-192947512930.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.016.159.410.506,,,,,1016159410506.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(224.848.613.752),,,,,-224848613752.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,29.372.804.372,,,,,29372804372.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,820.683.601.126,,,,,820683601126.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,749.722.185.856,,,,,749722185856.0
